%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1533179020486231288,306727,1533179020478157043,,990.0,1008.0,989.0,909.0,1023.0,992.0,853.0,964.0,1023.0,708.0,489.0,892.0,878.0,867.0,857.0,880.0
1533179020490517736,306728,1533179020486212968,,990.0,1008.0,989.0,909.0,1023.0,992.0,854.0,965.0,1023.0,707.0,490.0,891.0,880.0,870.0,861.0,884.0
1533179020498596698,306729,1533179020490442037,,991.0,1009.0,989.0,909.0,1023.0,993.0,853.0,964.0,1023.0,708.0,491.0,892.0,889.0,886.0,882.0,906.0
1533179020502740343,306730,1533179020498538970,,991.0,1008.0,989.0,910.0,1023.0,993.0,853.0,965.0,1023.0,708.0,490.0,892.0,886.0,877.0,868.0,888.0
1533179020506872939,306731,1533179020502692937,,991.0,1008.0,989.0,909.0,1023.0,992.0,853.0,964.0,1023.0,709.0,490.0,892.0,878.0,867.0,859.0,883.0
1533179020514986067,306732,1533179020506825923,,991.0,1008.0,989.0,909.0,1023.0,992.0,853.0,963.0,1023.0,708.0,490.0,892.0,880.0,869.0,862.0,888.0
1533179020519118185,306733,1533179020514967918,,991.0,1008.0,989.0,910.0,1023.0,993.0,853.0,964.0,1023.0,708.0,490.0,891.0,894.0,891.0,884.0,903.0
1533179020527194443,306734,1533179020519095897,,990.0,1008.0,990.0,909.0,1023.0,992.0,853.0,964.0,1023.0,708.0,490.0,892.0,879.0,869.0,858.0,880.0
1533179020531375471,306735,1533179020527162075,,990.0,1008.0,990.0,910.0,1023.0,992.0,853.0,965.0,1023.0,708.0,488.0,892.0,880.0,870.0,861.0,884.0
1533179020535528686,306736,1533179020531343936,,991.0,1008.0,989.0,910.0,1023.0,993.0,853.0,963.0,1023.0,708.0,491.0,892.0,889.0,885.0,881.0,906.0
1533179020543688829,306737,1533179020535465955,,991.0,1008.0,989.0,909.0,1023.0,993.0,854.0,964.0,1023.0,707.0,491.0,892.0,885.0,878.0,869.0,889.0
1533179020547799056,306738,1533179020543625116,,990.0,1009.0,989.0,909.0,1023.0,993.0,852.0,965.0,1023.0,708.0,489.0,892.0,878.0,867.0,859.0,884.0
1533179020551915184,306739,1533179020547741889,,991.0,1009.0,989.0,910.0,1023.0,993.0,853.0,964.0,1023.0,708.0,490.0,892.0,880.0,868.0,860.0,887.0
1533179020560035371,306740,1533179020551831960,,991.0,1009.0,990.0,909.0,1023.0,992.0,853.0,964.0,1023.0,708.0,489.0,892.0,894.0,891.0,884.0,904.0
1533179020564491948,306741,1533179020559978008,,990.0,1009.0,989.0,910.0,1023.0,992.0,852.0,964.0,1023.0,707.0,489.0,892.0,879.0,869.0,859.0,881.0
1533179020572427465,306742,1533179020564433097,,991.0,1009.0,990.0,910.0,1023.0,993.0,853.0,964.0,1023.0,707.0,491.0,893.0,880.0,869.0,861.0,885.0
1533179020576724091,306743,1533179020572381019,,990.0,1008.0,989.0,910.0,1023.0,992.0,853.0,964.0,1023.0,707.0,489.0,892.0,888.0,885.0,880.0,904.0
1533179020580664713,306744,1533179020576530933,,991.0,1009.0,989.0,910.0,1023.0,992.0,852.0,963.0,1023.0,707.0,490.0,892.0,885.0,877.0,869.0,889.0
1533179020588733450,306745,1533179020580605030,,990.0,1009.0,990.0,910.0,1023.0,993.0,853.0,965.0,1023.0,707.0,489.0,891.0,878.0,867.0,858.0,884.0
1533179020592789241,306746,1533179020588681936,,990.0,1008.0,990.0,909.0,1023.0,993.0,852.0,964.0,1023.0,708.0,490.0,892.0,880.0,868.0,859.0,885.0
