%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1533179111391500827,322641,1533179111383388042,,973.0,977.0,1004.0,835.0,1008.0,940.0,838.0,904.0,1002.0,605.0,435.0,755.0,752.0,746.0,738.0,782.0
1533179111395824536,322642,1533179111391494035,,973.0,977.0,1006.0,835.0,1009.0,941.0,839.0,904.0,1004.0,605.0,435.0,755.0,742.0,732.0,724.0,772.0
1533179111399940583,322643,1533179111395652055,,974.0,977.0,1005.0,834.0,1010.0,940.0,838.0,904.0,1003.0,605.0,435.0,756.0,743.0,733.0,724.0,772.0
1533179111408031994,322644,1533179111399890899,,973.0,977.0,1004.0,834.0,1008.0,941.0,839.0,903.0,1002.0,605.0,435.0,756.0,761.0,759.0,753.0,799.0
1533179111412151566,322645,1533179111407975912,,973.0,976.0,1004.0,835.0,1008.0,941.0,838.0,905.0,1002.0,605.0,435.0,755.0,745.0,737.0,729.0,773.0
1533179111416328291,322646,1533179111412103891,,974.0,976.0,1004.0,834.0,1009.0,940.0,838.0,904.0,1002.0,606.0,435.0,756.0,744.0,734.0,726.0,774.0
1533179111424450830,322647,1533179111416250944,,975.0,976.0,1003.0,834.0,1009.0,939.0,839.0,905.0,1002.0,605.0,435.0,755.0,752.0,748.0,744.0,794.0
1533179111428750564,322648,1533179111424391984,,973.0,976.0,1003.0,835.0,1010.0,939.0,839.0,904.0,1002.0,605.0,435.0,756.0,753.0,747.0,739.0,783.0
1533179111436686440,322649,1533179111428625106,,973.0,976.0,1002.0,834.0,1009.0,941.0,839.0,905.0,1002.0,605.0,435.0,756.0,742.0,733.0,726.0,773.0
1533179111440839036,322650,1533179111436645984,,973.0,976.0,1003.0,834.0,1009.0,940.0,839.0,904.0,1002.0,605.0,435.0,756.0,744.0,733.0,725.0,772.0
1533179111444917501,322651,1533179111440802097,,973.0,976.0,1002.0,834.0,1009.0,941.0,839.0,904.0,1003.0,605.0,435.0,755.0,759.0,759.0,754.0,799.0
1533179111453101763,322652,1533179111444874048,,974.0,975.0,1003.0,834.0,1009.0,941.0,840.0,905.0,1003.0,605.0,435.0,756.0,745.0,737.0,730.0,775.0
1533179111457223892,322653,1533179111453047990,,973.0,975.0,1002.0,834.0,1009.0,943.0,840.0,907.0,1003.0,604.0,434.0,755.0,744.0,734.0,726.0,774.0
1533179111465455249,322654,1533179111457166910,,973.0,975.0,1003.0,834.0,1010.0,943.0,840.0,907.0,1003.0,605.0,437.0,756.0,752.0,747.0,743.0,794.0
1533179111469589525,322655,1533179111465363979,,973.0,976.0,1003.0,834.0,1010.0,943.0,840.0,909.0,1005.0,604.0,433.0,756.0,754.0,748.0,741.0,786.0
