%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1533179190116142706,336667,1533179190107959032,,1002.0,1000.0,954.0,816.0,992.0,944.0,759.0,828.0,983.0,609.0,440.0,770.0,768.0,765.0,760.0,780.0
1533179190120287674,336668,1533179190116076946,,1001.0,1000.0,953.0,816.0,992.0,943.0,759.0,828.0,982.0,608.0,440.0,770.0,764.0,758.0,751.0,766.0
1533179190124411628,336669,1533179190120212078,,1001.0,1000.0,952.0,816.0,992.0,943.0,759.0,829.0,983.0,609.0,441.0,770.0,759.0,749.0,741.0,762.0
1533179190132580059,336670,1533179190124341011,,1001.0,996.0,950.0,816.0,991.0,943.0,760.0,829.0,982.0,609.0,441.0,771.0,760.0,750.0,742.0,762.0
1533179190136684782,336671,1533179190132504940,,1001.0,996.0,950.0,816.0,992.0,944.0,760.0,828.0,982.0,609.0,441.0,770.0,774.0,771.0,765.0,782.0
1533179190140979411,336672,1533179190136630058,,1001.0,995.0,949.0,816.0,992.0,943.0,759.0,829.0,982.0,609.0,441.0,770.0,761.0,752.0,745.0,762.0
1533179190148987004,336673,1533179190140913963,,1001.0,994.0,949.0,816.0,992.0,943.0,759.0,828.0,982.0,608.0,440.0,770.0,760.0,751.0,743.0,762.0
1533179190153174265,336674,1533179190148919105,,1000.0,994.0,948.0,816.0,992.0,943.0,759.0,828.0,982.0,609.0,440.0,770.0,765.0,761.0,755.0,778.0
1533179190157305850,336675,1533179190153079986,,1001.0,993.0,947.0,815.0,992.0,943.0,759.0,827.0,981.0,608.0,441.0,771.0,769.0,765.0,757.0,772.0
1533179190165444362,336676,1533179190157243967,,1000.0,993.0,947.0,816.0,991.0,943.0,759.0,828.0,982.0,609.0,441.0,771.0,757.0,748.0,741.0,760.0
1533179190169528201,336677,1533179190165383100,,1000.0,992.0,948.0,815.0,991.0,942.0,759.0,828.0,984.0,608.0,440.0,770.0,760.0,750.0,742.0,761.0
1533179190173771184,336678,1533179190169447898,,999.0,993.0,947.0,815.0,991.0,942.0,759.0,828.0,984.0,609.0,441.0,770.0,770.0,768.0,762.0,781.0
1533179190181729651,336679,1533179190173686981,,1000.0,993.0,947.0,814.0,992.0,943.0,759.0,828.0,984.0,608.0,441.0,770.0,763.0,756.0,748.0,765.0
1533179190185800331,336680,1533179190181679010,,999.0,993.0,948.0,815.0,991.0,942.0,760.0,828.0,985.0,609.0,440.0,771.0,759.0,749.0,742.0,761.0
1533179190189944667,336681,1533179190185760021,,999.0,994.0,948.0,815.0,991.0,943.0,760.0,827.0,984.0,608.0,440.0,772.0,761.0,751.0,744.0,766.0
