%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53667E+18,916,1023,997,884,1023,1023,861,990,1023,549,573,915
1.53667E+18,916,1023,998,884,1023,1023,862,991,1023,549,573,915
1.53667E+18,916,1023,998,884,1023,1023,862,990,1023,548,574,915
1.53667E+18,916,1023,997,886,1023,1023,862,989,1023,548,573,915
1.53667E+18,916,1023,998,885,1023,1023,862,990,1023,548,574,915
1.53667E+18,916,1023,998,886,1023,1023,862,990,1023,548,574,915
1.53667E+18,916,1023,997,886,1023,1023,862,990,1023,548,574,915
1.53667E+18,916,1023,997,886,1023,1023,861,989,1023,549,574,915
1.53667E+18,916,1023,997,887,1023,1023,861,990,1023,548,574,915
1.53667E+18,916,1023,998,886,1023,1023,861,989,1023,548,574,915
1.53667E+18,916,1023,997,888,1023,1023,860,989,1023,548,574,915
1.53667E+18,916,1023,998,888,1023,1023,860,989,1023,548,574,915
1.53667E+18,916,1023,998,888,1023,1023,860,990,1023,549,574,915
1.53667E+18,915,1023,998,888,1023,1023,860,989,1023,549,574,915
1.53667E+18,916,1023,997,889,1023,1023,860,990,1023,549,574,915
1.53667E+18,916,1023,998,890,1023,1023,859,990,1023,549,573,915
1.53667E+18,915,1023,998,889,1023,1023,859,989,1023,549,573,915
1.53667E+18,915,1023,997,889,1023,1023,859,988,1023,549,574,915
1.53667E+18,915,1023,997,890,1023,1023,859,989,1023,549,573,916
1.53667E+18,915,1023,997,891,1023,1023,859,990,1023,549,573,916
1.53667E+18,916,1023,997,892,1023,1023,859,989,1023,549,574,916
1.53667E+18,915,1023,997,892,1023,1023,858,989,1023,549,574,915
1.53667E+18,916,1023,997,893,1023,1023,858,989,1023,549,574,915
1.53667E+18,916,1023,998,893,1023,1023,858,988,1023,549,574,915
1.53667E+18,916,1023,997,893,1023,1023,859,989,1023,549,574,916
1.53667E+18,915,1023,998,893,1023,1023,858,989,1023,549,574,916
1.53667E+18,915,1023,998,893,1023,1023,857,989,1023,549,574,915
1.53667E+18,915,1023,997,893,1023,1023,857,989,1023,549,574,915
1.53667E+18,916,1023,997,892,1023,1023,857,988,1023,549,574,915
1.53667E+18,916,1023,997,893,1023,1023,858,988,1023,549,574,916
1.53667E+18,916,1023,997,892,1023,1023,858,989,1023,549,575,915
1.53667E+18,916,1023,997,893,1023,1023,858,989,1023,549,574,915
1.53667E+18,916,1023,997,893,1023,1023,857,988,1023,549,574,916
1.53667E+18,915,1023,997,892,1023,1023,857,989,1023,549,574,916
1.53667E+18,916,1023,996,894,1023,1023,857,988,1023,550,575,916
1.53667E+18,916,1023,997,895,1023,1023,858,989,1023,550,575,915
1.53667E+18,915,1023,997,896,1023,1023,857,989,1023,550,574,916
1.53667E+18,916,1023,997,896,1023,1023,858,989,1023,550,574,916
1.53667E+18,916,1023,996,897,1023,1023,858,989,1023,550,574,916
1.53667E+18,915,1023,996,896,1023,1023,857,988,1023,550,575,916
1.53667E+18,915,1023,996,896,1023,1023,857,989,1023,550,575,916
1.53667E+18,915,1023,996,896,1023,1023,857,989,1023,550,575,916
1.53667E+18,914,1023,997,896,1023,1023,857,989,1023,550,575,916
1.53667E+18,914,1023,997,896,1023,1023,857,989,1023,550,575,915
1.53667E+18,915,1023,997,896,1023,1023,857,988,1023,550,575,916
1.53667E+18,915,1023,996,895,1023,1023,857,989,1023,550,575,916
1.53667E+18,915,1023,997,895,1023,1023,857,988,1023,550,575,915
1.53667E+18,914,1023,997,895,1023,1023,857,989,1023,549,575,916
1.53667E+18,915,1023,996,896,1023,1023,857,988,1023,550,575,916
1.53667E+18,913,1023,996,896,1023,1023,857,989,1023,550,576,917
1.53667E+18,914,1023,997,896,1023,1023,856,989,1023,549,576,917
1.53667E+18,914,1023,998,896,1023,1023,857,988,1023,549,575,917
1.53667E+18,914,1023,998,896,1023,1023,856,989,1023,549,575,917
1.53667E+18,913,1023,997,897,1023,1023,857,989,1023,549,576,916
1.53667E+18,914,1023,997,897,1023,1023,856,989,1023,549,575,916
1.53667E+18,914,1022,998,897,1023,1023,856,989,1023,550,575,917
1.53667E+18,914,1023,998,897,1023,1023,856,989,1023,549,575,917
1.53667E+18,914,1022,997,897,1023,1023,856,989,1023,550,575,917
1.53667E+18,914,1022,997,898,1023,1023,856,989,1023,549,575,918
1.53667E+18,914,1023,998,898,1023,1023,856,989,1023,549,575,917
