%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53659E+18,871,973,1001,926,1023,997,867,979,1023,687,552,884
1.53659E+18,871,973,1002,926,1023,997,867,980,1023,686,552,883
1.53659E+18,871,973,1001,925,1023,997,867,980,1023,687,552,883
1.53659E+18,871,973,1001,926,1023,997,867,980,1023,687,552,883
1.53659E+18,871,973,1001,926,1023,997,867,980,1023,687,552,883
1.53659E+18,871,973,1001,925,1023,996,867,980,1023,687,552,883
1.53659E+18,871,973,1002,926,1023,997,867,979,1023,687,552,883
1.53659E+18,871,973,1001,926,1023,997,867,979,1023,687,552,883
1.53659E+18,871,972,1001,925,1023,996,867,980,1023,687,552,883
1.53659E+18,871,973,1001,926,1023,997,867,980,1023,687,552,884
1.53659E+18,871,973,1001,926,1023,996,867,980,1023,687,552,884
1.53659E+18,871,972,1002,925,1023,996,867,980,1023,686,552,884
1.53659E+18,871,973,1001,925,1023,996,867,979,1023,687,553,884
1.53659E+18,871,973,1002,925,1023,996,867,980,1023,686,553,885
1.53659E+18,871,973,1001,926,1023,997,867,979,1023,687,553,884
1.53659E+18,871,972,1002,926,1023,996,867,980,1023,686,553,885
1.53659E+18,871,972,1002,925,1023,997,867,980,1023,687,553,885
1.53659E+18,871,973,1001,926,1023,996,867,980,1023,686,553,885
1.53659E+18,871,973,1002,926,1023,996,867,980,1023,686,553,885
1.53659E+18,871,972,1001,926,1023,997,867,979,1023,686,553,885
1.53659E+18,871,973,1001,927,1023,997,867,980,1023,686,553,885
1.53659E+18,871,973,1001,927,1023,997,867,980,1023,686,553,885
1.53659E+18,871,973,1002,926,1023,996,866,979,1023,686,553,886
1.53659E+18,870,973,1001,927,1023,997,867,980,1023,686,553,886
1.53659E+18,871,972,1001,925,1023,996,867,980,1023,686,553,886
1.53659E+18,870,973,1002,925,1023,997,867,979,1023,686,553,885
1.53659E+18,870,973,1002,926,1023,996,867,979,1023,686,553,885
1.53659E+18,871,973,1001,926,1023,997,867,979,1023,686,553,885
1.53659E+18,870,973,1001,926,1023,997,866,979,1023,686,553,885
1.53659E+18,871,973,1002,925,1023,996,867,979,1023,686,553,885
1.53659E+18,870,973,1001,926,1023,997,867,980,1023,686,553,885
1.53659E+18,871,973,1001,925,1023,996,867,979,1023,686,553,885
1.53659E+18,871,973,1002,926,1023,996,867,980,1023,686,553,885
1.53659E+18,871,973,1002,926,1023,996,867,980,1023,686,553,885
1.53659E+18,871,973,1001,926,1023,997,867,979,1023,686,553,884
1.53659E+18,871,973,1001,926,1023,997,867,980,1023,686,553,885
1.53659E+18,871,972,1001,926,1023,996,866,979,1023,686,553,885
1.53659E+18,871,973,1001,926,1023,997,867,979,1023,686,553,885
1.53659E+18,871,973,1001,926,1023,996,867,979,1023,686,553,885
1.53659E+18,871,973,1002,926,1023,997,867,979,1023,686,553,885
1.53659E+18,871,973,1001,926,1023,996,867,979,1023,686,552,884
1.53659E+18,870,973,1001,926,1023,996,867,979,1023,686,553,885
1.53659E+18,871,973,1001,926,1023,996,867,979,1023,686,553,885
1.53659E+18,871,972,1001,926,1023,996,867,979,1023,686,552,884
1.53659E+18,871,973,1001,927,1023,996,866,979,1023,686,552,884
1.53659E+18,871,973,1001,926,1023,996,867,979,1023,686,552,885
1.53659E+18,871,973,1001,926,1023,996,867,979,1023,686,552,885
1.53659E+18,870,973,1001,925,1023,996,867,979,1023,686,552,885
1.53659E+18,871,973,1001,926,1023,997,867,979,1023,686,552,885
1.53659E+18,871,973,1001,926,1023,996,867,979,1023,686,552,885
1.53659E+18,871,973,1000,926,1023,996,867,979,1023,687,552,884
1.53659E+18,871,973,1001,926,1023,996,866,979,1023,686,552,885
1.53659E+18,870,973,1001,926,1023,997,867,979,1023,686,552,884
1.53659E+18,871,973,1002,926,1023,996,867,979,1023,686,552,884
1.53659E+18,871,973,1001,925,1023,996,866,979,1023,686,552,884
1.53659E+18,870,973,1001,925,1023,997,867,979,1023,686,552,884
1.53659E+18,871,973,1001,925,1023,997,867,979,1023,686,552,884
1.53659E+18,871,973,1001,925,1023,996,866,978,1023,686,552,884
1.53659E+18,871,973,1001,926,1023,996,867,979,1023,686,552,885
1.53659E+18,871,973,1001,926,1023,997,866,979,1023,686,552,884
1.53659E+18,871,973,1001,925,1023,996,866,979,1023,686,552,884
1.53659E+18,871,973,1001,926,1023,996,867,978,1023,686,552,884
1.53659E+18,871,972,1001,926,1023,997,867,978,1023,686,552,884
1.53659E+18,871,972,1002,925,1023,996,867,978,1023,686,552,885
1.53659E+18,871,972,1001,925,1023,997,867,979,1023,686,552,884
1.53659E+18,871,972,1001,926,1023,997,866,979,1023,686,553,885
1.53659E+18,871,972,1002,925,1023,997,867,978,1023,686,553,885
1.53659E+18,871,973,1002,925,1023,997,867,979,1023,686,553,885
1.53659E+18,871,973,1002,926,1023,997,866,979,1023,686,553,885
1.53659E+18,870,973,1001,926,1023,997,866,979,1023,686,553,887
1.53659E+18,871,973,1002,926,1023,997,866,979,1023,687,553,886
1.53659E+18,871,972,1002,925,1023,996,867,979,1023,686,553,886
1.53659E+18,871,973,1001,925,1023,997,866,980,1023,686,553,886
1.53659E+18,871,973,1001,925,1023,998,866,980,1023,686,553,887
1.53659E+18,871,972,1002,925,1023,997,866,979,1023,686,552,887
1.53659E+18,871,972,1002,925,1023,997,866,979,1023,687,553,887
1.53659E+18,871,972,1002,925,1023,997,866,979,1023,686,552,886
1.53659E+18,871,973,1002,926,1023,997,866,979,1023,686,552,886
1.53659E+18,871,973,1001,926,1023,996,866,979,1023,686,552,887
1.53659E+18,871,972,1002,925,1023,997,866,979,1023,686,552,887
1.53659E+18,871,973,1001,925,1023,997,867,979,1023,686,552,887
1.53659E+18,871,972,1002,926,1023,997,867,978,1023,686,552,886
1.53659E+18,871,971,1002,925,1023,997,866,979,1023,686,552,886
1.53659E+18,871,973,1001,925,1023,997,866,979,1023,686,552,886
1.53659E+18,871,972,1002,925,1023,997,866,979,1023,686,552,886
1.53659E+18,871,973,1002,925,1023,996,866,978,1023,686,552,886
1.53659E+18,870,973,1001,925,1023,996,866,979,1023,686,552,886
1.53659E+18,870,973,1002,926,1023,997,866,979,1023,686,552,886
1.53659E+18,871,973,1002,926,1023,997,866,979,1023,686,552,887
1.53659E+18,871,973,1002,926,1023,997,867,979,1023,686,552,886
1.53659E+18,871,973,1002,925,1023,996,866,979,1023,686,553,886
1.53659E+18,871,972,1002,925,1023,997,866,978,1023,686,552,886
1.53659E+18,871,972,1001,926,1023,997,866,978,1023,686,552,886
1.53659E+18,871,973,1002,926,1023,997,866,979,1023,686,551,886
1.53659E+18,871,973,1001,925,1023,997,867,979,1023,686,552,886
1.53659E+18,871,973,1001,925,1023,997,867,979,1023,686,551,885
1.53659E+18,871,972,1001,926,1023,997,866,978,1023,686,551,886
1.53659E+18,871,973,1002,926,1023,996,867,979,1023,686,552,886
1.53659E+18,871,973,1002,925,1023,996,866,979,1023,686,551,886
1.53659E+18,870,973,1001,925,1023,997,866,979,1023,686,551,885
1.53659E+18,871,973,1002,925,1023,997,866,978,1023,686,552,885
1.53659E+18,871,973,1002,925,1023,997,867,979,1023,686,551,886
1.53659E+18,871,973,1002,925,1023,996,866,979,1023,686,551,886
1.53659E+18,871,973,1001,925,1023,996,867,979,1023,685,552,886
1.53659E+18,871,973,1002,925,1023,996,867,978,1023,686,552,885
1.53659E+18,871,973,1002,925,1023,997,866,979,1023,686,552,886
1.53659E+18,870,972,1001,925,1023,996,866,979,1023,686,552,886
1.53659E+18,870,972,1001,924,1023,996,867,979,1023,686,551,885
1.53659E+18,871,973,1001,925,1023,997,866,979,1023,686,552,886
1.53659E+18,871,973,1001,925,1023,996,866,979,1023,686,552,886
1.53659E+18,871,972,1001,925,1023,997,866,979,1023,686,552,886
1.53659E+18,871,972,1001,925,1023,996,867,978,1023,686,553,886
1.53659E+18,871,973,1002,926,1023,996,866,979,1023,686,552,887
1.53659E+18,871,972,1002,925,1023,996,866,980,1023,686,553,886
1.53659E+18,871,972,1001,925,1023,997,866,978,1023,686,552,886
1.53659E+18,871,973,1001,925,1023,997,866,979,1023,686,552,887
1.53659E+18,871,972,1001,925,1023,996,866,979,1023,686,553,886
1.53659E+18,871,973,1001,925,1023,996,866,979,1023,686,553,887
1.53659E+18,870,972,1001,925,1023,997,866,978,1023,686,553,886
1.53659E+18,871,973,1001,925,1023,997,866,978,1023,686,553,886
1.53659E+18,871,972,1002,925,1023,996,866,979,1023,686,553,886
1.53659E+18,871,972,1002,924,1023,996,866,979,1023,686,553,886
1.53659E+18,870,973,1002,925,1023,996,866,979,1023,686,553,886
1.53659E+18,871,973,1002,925,1023,996,866,979,1023,686,553,886
