%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53659E+18,856,937,904,925,1023,981,973,1020,1009,873,472,809
1.53659E+18,856,937,904,925,1023,981,973,1020,1009,874,472,809
1.53659E+18,856,937,904,925,1023,981,974,1019,1009,873,472,809
1.53659E+18,856,938,904,925,1023,981,974,1020,1009,873,473,809
1.53659E+18,856,937,904,925,1023,981,973,1020,1009,873,472,809
1.53659E+18,857,937,903,925,1023,981,973,1019,1009,873,473,809
1.53659E+18,856,937,904,924,1023,981,973,1020,1009,873,473,809
1.53659E+18,856,937,904,925,1023,981,973,1021,1009,873,473,809
1.53659E+18,856,937,903,924,1023,981,973,1020,1009,873,472,809
1.53659E+18,856,938,903,925,1023,980,973,1020,1008,873,472,809
1.53659E+18,856,937,904,925,1023,980,973,1020,1009,872,473,809
1.53659E+18,856,937,904,925,1023,981,973,1019,1010,873,472,808
1.53659E+18,856,938,903,925,1023,980,974,1020,1009,873,472,809
1.53659E+18,856,937,903,924,1023,980,973,1020,1009,872,473,809
1.53659E+18,857,937,904,924,1023,981,973,1019,1009,873,472,809
1.53659E+18,856,937,904,924,1023,981,974,1020,1009,873,473,809
1.53659E+18,856,937,904,925,1023,980,973,1020,1009,873,472,809
1.53659E+18,856,937,903,925,1023,981,973,1020,1009,873,473,808
1.53659E+18,856,937,905,925,1023,981,973,1020,1009,873,472,809
1.53659E+18,855,937,904,925,1023,980,973,1020,1008,872,472,809
1.53659E+18,856,937,904,925,1023,981,973,1019,1008,872,473,809
1.53659E+18,856,938,905,925,1023,981,973,1020,1008,873,473,809
1.53659E+18,856,937,904,924,1023,981,973,1020,1008,872,472,808
1.53659E+18,856,937,904,925,1023,981,973,1020,1009,873,473,809
1.53659E+18,856,937,903,925,1023,981,973,1020,1009,873,473,809
1.53659E+18,856,937,903,925,1023,981,973,1020,1009,873,472,809
1.53659E+18,856,937,904,925,1023,981,973,1020,1009,873,473,809
1.53659E+18,856,937,904,925,1023,981,973,1020,1010,872,472,808
1.53659E+18,856,937,904,924,1023,981,973,1020,1009,873,473,809
1.53659E+18,856,937,905,924,1023,981,973,1020,1009,872,473,809
1.53659E+18,856,937,904,925,1023,981,974,1021,1009,873,472,809
1.53659E+18,857,938,903,924,1023,981,973,1021,1009,873,473,809
1.53659E+18,856,938,903,925,1023,981,974,1020,1010,873,472,809
1.53659E+18,856,937,904,925,1023,981,974,1020,1009,872,473,809
1.53659E+18,856,937,904,924,1023,981,974,1020,1009,873,473,809
1.53659E+18,857,937,904,925,1023,981,974,1020,1009,872,472,809
1.53659E+18,856,938,903,924,1023,981,974,1021,1009,873,472,809
1.53659E+18,856,938,904,924,1023,981,974,1021,1009,873,473,809
1.53659E+18,857,938,904,925,1023,981,973,1021,1009,872,473,809
1.53659E+18,856,938,904,924,1023,981,974,1020,1009,873,472,809
1.53659E+18,856,938,903,924,1023,982,974,1020,1009,872,473,809
1.53659E+18,856,937,904,924,1023,981,974,1021,1008,872,473,809
1.53659E+18,856,938,904,925,1023,981,973,1021,1010,873,473,808
1.53659E+18,856,937,903,925,1023,980,974,1021,1008,872,473,809
1.53659E+18,856,938,904,924,1023,981,973,1020,1009,873,473,809
1.53659E+18,856,937,904,924,1023,981,974,1021,1008,873,473,809
1.53659E+18,857,937,904,925,1023,981,973,1020,1008,872,472,809
1.53659E+18,856,937,904,925,1023,981,974,1021,1008,873,472,809
1.53659E+18,856,937,903,924,1023,981,974,1021,1008,873,473,809
1.53659E+18,856,939,904,925,1023,980,973,1020,1009,873,473,809
1.53659E+18,856,937,903,925,1023,981,973,1021,1009,873,473,809
1.53659E+18,856,937,904,924,1023,981,974,1020,1009,872,473,809
1.53659E+18,856,937,904,923,1023,981,973,1021,1009,873,472,809
1.53659E+18,857,937,904,925,1023,981,974,1021,1008,873,473,809
1.53659E+18,856,937,903,924,1023,980,973,1021,1008,873,472,809
1.53659E+18,856,938,904,924,1023,981,974,1020,1009,873,473,809
1.53659E+18,856,938,903,925,1023,981,974,1021,1008,873,472,809
1.53659E+18,856,937,903,925,1023,981,973,1021,1009,873,472,809
1.53659E+18,856,938,903,925,1023,980,975,1020,1009,873,473,809
1.53659E+18,856,937,903,924,1023,980,974,1020,1009,873,473,809
1.53659E+18,856,937,904,924,1023,980,973,1021,1009,872,472,809
1.53659E+18,856,937,904,924,1023,981,973,1020,1009,873,472,809
1.53659E+18,856,938,903,924,1023,981,974,1020,1009,872,472,809
1.53659E+18,856,937,904,924,1023,981,974,1020,1008,873,473,809
1.53659E+18,856,938,903,924,1023,981,973,1020,1009,873,472,809
1.53659E+18,856,938,903,925,1023,981,975,1020,1008,873,472,809
1.53659E+18,855,937,904,925,1023,980,974,1020,1008,872,473,809
1.53659E+18,856,938,904,925,1023,981,973,1019,1009,872,472,809
1.53659E+18,856,937,904,924,1023,981,973,1020,1008,872,472,809
1.53659E+18,857,937,903,924,1023,981,973,1020,1009,872,472,809
1.53659E+18,856,937,904,924,1023,981,974,1020,1008,873,472,809
1.53659E+18,855,937,903,924,1023,981,973,1020,1009,873,472,809
1.53659E+18,856,937,903,925,1023,980,973,1020,1008,873,472,809
1.53659E+18,856,938,903,924,1023,980,972,1020,1008,872,472,809
1.53659E+18,855,938,903,924,1023,980,974,1021,1009,872,472,809
1.53659E+18,856,937,904,924,1023,980,973,1020,1008,872,472,808
1.53659E+18,855,938,903,924,1023,981,973,1020,1008,873,472,809
1.53659E+18,856,938,905,924,1023,981,974,1020,1008,873,472,809
1.53659E+18,856,937,904,924,1023,981,974,1021,1008,873,472,809
1.53659E+18,856,937,903,924,1023,980,973,1020,1008,873,472,809
1.53659E+18,856,938,904,925,1023,981,973,1020,1009,873,472,809
1.53659E+18,856,937,903,924,1023,981,974,1021,1008,873,472,809
1.53659E+18,856,937,904,925,1023,981,973,1020,1008,873,472,808
1.53659E+18,856,937,903,925,1023,981,974,1020,1008,873,472,808
1.53659E+18,856,937,904,924,1023,980,974,1020,1008,873,472,808
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,873,472,808
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,873,472,808
1.53659E+18,856,938,903,925,1023,981,973,1020,1008,873,472,809
1.53659E+18,856,937,903,924,1023,980,974,1020,1009,873,472,809
1.53659E+18,856,937,903,925,1023,980,973,1019,1007,872,472,808
1.53659E+18,856,938,903,925,1023,981,973,1020,1008,873,472,808
1.53659E+18,856,937,903,925,1023,981,974,1020,1008,873,472,808
1.53659E+18,856,937,903,924,1023,981,973,1019,1008,872,472,809
1.53659E+18,856,937,903,924,1023,981,973,1021,1009,873,472,808
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,873,472,809
1.53659E+18,856,937,903,924,1023,981,973,1019,1009,872,472,809
1.53659E+18,856,937,903,924,1023,981,974,1019,1008,873,472,809
1.53659E+18,856,937,903,924,1023,980,973,1020,1008,873,472,808
1.53659E+18,856,937,903,924,1023,981,973,1019,1008,873,472,809
1.53659E+18,856,937,903,924,1023,981,973,1019,1008,873,472,808
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,872,472,808
1.53659E+18,856,937,903,924,1023,981,973,1019,1008,872,472,808
1.53659E+18,856,937,904,924,1023,981,973,1019,1008,872,472,808
1.53659E+18,856,937,903,924,1023,981,973,1019,1008,872,472,809
1.53659E+18,856,937,903,924,1023,981,974,1020,1008,872,472,808
1.53659E+18,856,937,903,925,1023,981,974,1020,1008,873,472,808
1.53659E+18,856,937,903,924,1023,981,973,1019,1008,872,472,808
1.53659E+18,856,938,903,924,1023,981,973,1020,1007,872,472,809
1.53659E+18,856,937,904,924,1023,981,973,1019,1008,872,472,808
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,872,472,808
1.53659E+18,856,937,903,924,1023,981,973,1019,1008,872,472,809
1.53659E+18,855,937,904,924,1023,981,973,1019,1008,872,472,808
1.53659E+18,856,937,903,924,1023,980,972,1020,1009,873,472,808
1.53659E+18,856,936,903,924,1023,980,973,1020,1008,872,472,808
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,873,472,809
1.53659E+18,855,936,903,924,1023,980,973,1020,1008,873,472,808
1.53659E+18,856,937,903,924,1023,981,974,1020,1008,872,472,808
1.53659E+18,856,936,903,924,1023,981,973,1019,1008,872,472,808
1.53659E+18,855,936,903,924,1023,981,973,1020,1008,872,472,808
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,873,472,809
1.53659E+18,856,937,903,925,1023,981,973,1020,1008,872,472,809
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,872,472,809
1.53659E+18,856,937,904,924,1023,981,973,1020,1008,872,472,809
1.53659E+18,856,937,903,924,1023,981,973,1020,1008,872,472,809
1.53659E+18,856,936,904,924,1023,980,973,1020,1008,872,472,808
1.53659E+18,855,936,903,924,1023,981,973,1020,1008,872,472,809
1.53659E+18,856,936,903,924,1023,981,973,1020,1008,872,472,808
1.53659E+18,856,936,903,924,1023,981,973,1020,1008,872,472,808
1.53659E+18,856,936,903,924,1023,981,974,1019,1009,872,472,809
1.53659E+18,856,937,903,925,1023,981,973,1020,1008,872,472,808
1.53659E+18,856,936,903,924,1023,981,974,1020,1008,872,472,808
1.53659E+18,857,937,903,925,1023,980,973,1019,1008,872,472,808
1.53659E+18,856,936,903,925,1023,981,973,1019,1008,872,472,808
1.53659E+18,856,937,903,924,1023,981,974,1019,1008,872,472,808
1.53659E+18,856,936,903,924,1023,981,973,1019,1008,872,472,808
1.53659E+18,857,936,903,925,1023,980,973,1020,1009,872,472,808
1.53659E+18,856,937,903,925,1023,980,973,1020,1008,872,472,809
1.53659E+18,856,937,903,925,1023,981,973,1019,1008,872,472,808
1.53659E+18,857,937,903,925,1023,980,973,1019,1008,872,472,808
1.53659E+18,856,936,903,925,1023,981,974,1019,1008,872,472,809
1.53659E+18,856,936,903,924,1023,981,973,1020,1008,872,472,808
1.53659E+18,857,937,902,925,1023,981,973,1019,1008,872,472,808
1.53659E+18,857,937,903,925,1023,981,973,1019,1008,872,472,808
1.53659E+18,857,936,903,925,1023,979,974,1019,1008,872,472,809
1.53659E+18,857,937,903,924,1023,980,973,1019,1008,871,472,809
1.53659E+18,857,937,902,925,1023,980,973,1020,1008,872,472,809
1.53659E+18,857,937,903,926,1023,980,974,1019,1008,871,472,808
1.53659E+18,857,937,903,925,1023,981,973,1020,1008,872,472,808
1.53659E+18,857,936,903,924,1023,981,974,1020,1008,871,472,808
1.53659E+18,857,936,903,925,1023,980,972,1020,1008,871,472,808
1.53659E+18,857,937,903,924,1023,981,974,1019,1008,872,472,809
1.53659E+18,857,937,902,925,1023,981,973,1021,1008,871,472,808
1.53659E+18,858,936,902,925,1023,979,973,1020,1008,871,472,808
1.53659E+18,857,937,903,925,1023,980,975,1020,1008,872,472,809
1.53659E+18,858,937,903,925,1023,981,974,1020,1009,871,472,808
1.53659E+18,858,936,903,925,1023,981,974,1020,1008,872,472,808
1.53659E+18,858,937,903,925,1023,981,973,1021,1008,872,472,808
1.53659E+18,859,936,903,925,1023,981,973,1020,1008,872,473,808
1.53659E+18,858,936,903,925,1023,981,973,1020,1008,872,472,809
1.53659E+18,858,937,903,924,1023,981,973,1020,1009,871,472,808
1.53659E+18,858,937,903,925,1023,981,973,1020,1008,872,472,809
1.53659E+18,859,937,902,925,1023,980,973,1020,1008,872,472,809
1.53659E+18,858,937,903,925,1023,980,973,1019,1009,871,472,808
1.53659E+18,858,936,903,925,1023,981,973,1020,1008,871,472,808
1.53659E+18,858,936,903,924,1023,980,973,1020,1008,872,472,809
1.53659E+18,858,937,903,925,1023,981,973,1019,1009,872,472,809
1.53659E+18,857,936,903,925,1023,980,973,1021,1009,871,472,809
1.53659E+18,858,937,903,924,1023,981,973,1020,1007,872,472,809
1.53659E+18,858,937,902,924,1023,981,973,1020,1009,871,472,809
1.53659E+18,858,937,903,925,1023,980,973,1020,1008,871,472,808
1.53659E+18,858,937,903,925,1023,980,973,1020,1009,871,473,809
1.53659E+18,858,937,903,925,1023,980,973,1020,1008,871,473,809
1.53659E+18,857,937,903,925,1023,980,973,1019,1008,871,473,809
1.53659E+18,857,936,903,924,1023,980,973,1019,1009,871,473,809
1.53659E+18,858,937,903,924,1023,980,973,1019,1008,871,473,809
1.53659E+18,857,936,903,925,1023,981,973,1019,1009,871,473,809
1.53659E+18,857,937,903,925,1023,980,973,1019,1008,871,473,809
1.53659E+18,857,937,903,924,1023,980,973,1020,1008,871,473,809
1.53659E+18,857,936,904,925,1023,980,973,1019,1009,871,473,809
1.53659E+18,858,937,903,924,1023,980,973,1020,1008,871,473,809
1.53659E+18,858,936,903,924,1023,980,973,1020,1009,871,473,809
