%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53659E+18,977,1023,994,967,1023,1017,969,1007,1023,642,485,824
1.53659E+18,978,1023,993,968,1023,1018,969,1007,1023,642,485,824
1.53659E+18,979,1023,994,968,1023,1018,969,1007,1022,642,485,824
1.53659E+18,977,1023,994,968,1023,1017,968,1008,1023,642,485,825
1.53659E+18,978,1023,994,968,1023,1018,969,1008,1023,643,485,824
1.53659E+18,980,1023,992,967,1023,1018,969,1006,1022,642,485,824
1.53659E+18,981,1023,993,967,1023,1018,969,1006,1023,642,484,824
1.53659E+18,980,1023,993,967,1023,1018,968,1007,1023,642,484,824
1.53659E+18,980,1023,993,967,1023,1017,969,1007,1023,642,484,824
1.53659E+18,979,1023,994,967,1023,1018,968,1007,1022,642,483,824
1.53659E+18,980,1023,993,968,1023,1018,968,1007,1022,642,483,823
1.53659E+18,981,1023,994,967,1023,1018,968,1006,1023,641,482,824
1.53659E+18,980,1023,992,968,1023,1018,968,1007,1022,641,482,824
1.53659E+18,981,1023,992,967,1023,1018,969,1006,1023,641,482,823
1.53659E+18,981,1023,991,967,1023,1019,968,1006,1022,640,482,822
1.53659E+18,981,1023,992,967,1023,1017,968,1006,1023,640,482,823
1.53659E+18,982,1023,992,967,1023,1018,968,1006,1022,640,483,823
1.53659E+18,981,1023,992,967,1023,1018,967,1007,1023,640,482,823
1.53659E+18,982,1023,991,967,1023,1018,968,1006,1023,639,482,823
1.53659E+18,981,1023,991,966,1023,1017,967,1006,1023,639,482,822
1.53659E+18,981,1023,990,966,1023,1018,968,1007,1022,639,482,823
1.53659E+18,981,1023,991,966,1023,1018,967,1006,1022,639,481,823
1.53659E+18,980,1023,990,967,1023,1018,968,1006,1023,639,481,823
1.53659E+18,981,1023,991,966,1023,1018,967,1006,1023,639,481,823
1.53659E+18,981,1023,991,966,1023,1018,967,1007,1023,639,481,822
1.53659E+18,980,1023,991,966,1023,1019,967,1007,1022,639,481,823
1.53659E+18,980,1023,990,966,1023,1018,967,1006,1023,639,481,823
1.53659E+18,983,1023,990,966,1023,1018,967,1006,1022,639,481,823
1.53659E+18,983,1023,990,966,1023,1018,967,1006,1021,639,480,823
1.53659E+18,982,1023,990,966,1023,1018,967,1006,1022,639,480,823
1.53659E+18,982,1023,991,967,1023,1018,967,1006,1023,639,480,823
1.53659E+18,982,1023,991,968,1023,1018,967,1007,1022,639,480,823
1.53659E+18,982,1023,991,967,1023,1019,967,1005,1022,639,480,823
1.53659E+18,982,1023,991,967,1023,1018,967,1006,1023,639,480,822
1.53659E+18,983,1023,991,968,1023,1018,966,1007,1022,639,479,822
1.53659E+18,983,1023,992,967,1023,1018,966,1006,1021,639,480,821
1.53659E+18,983,1023,992,966,1023,1018,966,1006,1022,639,480,822
1.53659E+18,983,1023,991,966,1023,1018,966,1006,1022,639,480,822
1.53659E+18,982,1023,992,966,1023,1018,966,1004,1023,639,481,821
1.53659E+18,982,1023,991,966,1023,1019,966,1005,1022,639,481,822
1.53659E+18,983,1023,990,965,1023,1017,966,1005,1022,639,481,822
1.53659E+18,984,1023,991,966,1023,1018,966,1006,1022,639,481,822
1.53659E+18,982,1023,991,967,1023,1018,966,1006,1022,639,480,821
1.53659E+18,982,1023,990,966,1023,1018,965,1006,1022,639,480,822
1.53659E+18,984,1023,990,967,1023,1018,966,1006,1022,639,480,821
1.53659E+18,983,1023,991,968,1023,1018,966,1005,1023,640,481,822
1.53659E+18,981,1023,990,967,1023,1018,966,1006,1022,640,481,822
1.53659E+18,981,1023,990,967,1023,1018,966,1006,1023,640,481,821
1.53659E+18,982,1023,990,968,1023,1018,965,1006,1022,640,481,821
1.53659E+18,981,1023,988,967,1023,1018,965,1005,1022,640,481,821
1.53659E+18,980,1023,990,968,1023,1018,966,1005,1023,639,481,821
1.53659E+18,981,1023,991,967,1023,1018,965,1006,1023,639,481,821
1.53659E+18,981,1023,991,967,1023,1019,965,1006,1022,639,481,821
1.53659E+18,981,1023,991,968,1023,1019,965,1006,1022,640,481,820
1.53659E+18,980,1023,992,967,1023,1018,965,1005,1023,640,480,821
1.53659E+18,980,1023,993,967,1023,1018,965,1006,1022,640,480,821
1.53659E+18,979,1023,992,967,1023,1018,964,1005,1022,639,481,821
1.53659E+18,979,1023,992,966,1023,1018,964,1006,1022,639,482,821
1.53659E+18,979,1023,993,968,1023,1018,965,1006,1022,639,481,821
1.53659E+18,979,1023,992,967,1023,1018,964,1005,1022,639,481,821
1.53659E+18,978,1023,992,967,1023,1018,964,1006,1022,639,481,821
1.53659E+18,978,1023,991,967,1023,1017,965,1005,1022,639,481,821
1.53659E+18,979,1023,991,966,1023,1018,965,1005,1022,639,480,820
1.53659E+18,981,1023,991,966,1023,1018,964,1005,1023,639,481,821
1.53659E+18,980,1023,991,967,1023,1018,965,1005,1022,639,480,821
1.53659E+18,979,1023,992,968,1023,1018,965,1006,1022,639,480,821
1.53659E+18,980,1023,992,966,1023,1018,965,1005,1022,639,480,821
1.53659E+18,980,1023,992,967,1023,1017,964,1005,1022,639,480,821
1.53659E+18,980,1023,993,967,1023,1017,964,1006,1022,639,480,821
1.53659E+18,979,1023,993,968,1023,1018,963,1005,1022,640,480,821
1.53659E+18,978,1023,993,967,1023,1018,964,1005,1022,641,481,821
1.53659E+18,977,1023,994,968,1023,1018,964,1005,1022,641,482,821
1.53659E+18,977,1023,994,967,1023,1018,964,1005,1023,642,482,821
1.53659E+18,978,1023,993,967,1023,1018,964,1005,1022,643,482,821
1.53659E+18,977,1023,993,967,1023,1018,964,1005,1021,644,483,821
1.53659E+18,983,1023,996,968,1023,1018,963,1006,1022,646,482,820
1.53659E+18,984,1023,1000,967,1023,1018,962,1004,1022,649,482,820
1.53659E+18,984,1023,1001,967,1023,1019,962,1004,1022,650,482,820
1.53659E+18,983,1023,1000,966,1023,1018,962,1004,1022,651,482,820
1.53659E+18,983,1023,1000,966,1023,1019,961,1005,1022,650,481,820
1.53659E+18,986,1023,1000,966,1023,1019,962,1004,1021,651,481,820
1.53659E+18,983,1023,999,966,1023,1019,961,1005,1021,650,481,820
1.53659E+18,985,1023,1001,966,1023,1019,961,1005,1022,650,480,821
1.53659E+18,984,1023,1001,967,1023,1019,961,1005,1021,649,480,820
1.53659E+18,984,1023,1002,967,1023,1019,960,1004,1022,648,480,821
1.53659E+18,984,1023,1001,966,1023,1020,960,1006,1022,647,479,821
1.53659E+18,982,1023,1002,965,1023,1019,960,1005,1023,645,480,820
1.53659E+18,981,1023,1002,967,1023,1018,961,1006,1022,646,480,820
1.53659E+18,982,1023,1001,970,1023,1018,964,1007,1022,647,479,820
1.53659E+18,982,1023,1001,971,1023,1018,965,1007,1022,647,478,820
1.53659E+18,982,1023,999,971,1023,1018,965,1005,1023,647,478,820
1.53659E+18,982,1023,998,971,1023,1018,964,1005,1022,646,478,820
1.53659E+18,981,1023,997,969,1023,1019,964,1006,1022,646,478,820
1.53659E+18,978,1023,996,968,1023,1018,963,1004,1023,645,478,819
1.53659E+18,977,1023,996,967,1023,1018,963,1005,1022,644,478,820
1.53659E+18,976,1023,995,967,1023,1019,963,1006,1022,644,478,820
1.53659E+18,976,1023,995,967,1023,1019,963,1005,1023,643,478,819
1.53659E+18,975,1023,995,967,1023,1019,962,1005,1022,643,478,819
1.53659E+18,975,1023,996,967,1023,1017,963,1004,1022,643,478,820
1.53659E+18,976,1023,995,967,1023,1018,962,1005,1021,642,478,819
1.53659E+18,977,1023,993,966,1023,1018,961,1004,1022,642,477,819
1.53659E+18,977,1023,994,967,1023,1018,960,1004,1022,642,477,819
1.53659E+18,978,1023,993,966,1023,1018,960,1005,1022,642,477,819
1.53659E+18,979,1023,994,966,1023,1018,960,1004,1022,641,477,819
1.53659E+18,976,1023,992,965,1023,1019,960,1004,1023,641,477,819
1.53659E+18,976,1023,994,965,1023,1019,960,1004,1022,640,477,819
1.53659E+18,977,1023,995,965,1023,1018,961,1004,1022,641,477,818
1.53659E+18,977,1023,995,965,1023,1019,961,1004,1022,640,477,818
1.53659E+18,976,1023,994,965,1023,1020,960,1004,1022,640,477,818
1.53659E+18,977,1023,993,965,1023,1020,961,1004,1022,640,477,818
1.53659E+18,976,1023,995,965,1023,1020,960,1004,1022,640,477,818
1.53659E+18,975,1023,992,965,1023,1020,960,1004,1022,640,477,818
1.53659E+18,977,1023,992,964,1023,1018,961,1004,1023,640,477,818
1.53659E+18,978,1023,992,965,1023,1019,961,1004,1022,640,476,818
1.53659E+18,977,1023,991,964,1023,1018,960,1004,1021,639,477,818
1.53659E+18,975,1023,992,964,1023,1019,959,1004,1022,639,477,818
1.53659E+18,974,1023,992,964,1023,1019,960,1004,1022,639,477,818
1.53659E+18,973,1023,991,963,1023,1018,960,1003,1022,639,477,818
1.53659E+18,973,1023,991,964,1023,1019,960,1004,1022,639,476,818
1.53659E+18,973,1023,990,963,1023,1018,959,1004,1023,639,476,818
1.53659E+18,974,1023,990,963,1023,1018,960,1004,1021,639,476,818
1.53659E+18,974,1023,990,963,1023,1018,960,1004,1022,639,476,818
1.53659E+18,975,1023,991,963,1023,1017,959,1005,1021,639,476,818
1.53659E+18,974,1023,991,963,1023,1018,959,1004,1022,639,476,818
1.53659E+18,973,1023,989,963,1023,1018,958,1004,1021,639,476,818
1.53659E+18,974,1023,988,962,1023,1018,959,1004,1022,639,477,818
1.53659E+18,973,1023,988,963,1023,1019,959,1004,1022,640,477,818
1.53659E+18,973,1023,990,962,1023,1018,959,1004,1022,639,477,818
1.53659E+18,973,1023,989,962,1023,1018,959,1005,1022,639,477,818
1.53659E+18,974,1023,990,963,1023,1019,959,1005,1022,639,477,818
1.53659E+18,975,1023,989,962,1023,1018,959,1004,1022,638,477,818
1.53659E+18,975,1023,989,963,1023,1018,959,1004,1022,638,477,818
1.53659E+18,975,1023,989,963,1023,1019,959,1004,1021,638,477,818
1.53659E+18,973,1023,989,962,1023,1018,959,1005,1022,638,477,817
1.53659E+18,973,1023,988,963,1023,1018,959,1004,1022,638,477,818
1.53659E+18,973,1023,988,962,1023,1018,958,1005,1022,639,477,818
1.53659E+18,973,1023,988,963,1023,1019,959,1005,1022,640,477,818
1.53659E+18,975,1023,987,963,1023,1019,958,1004,1021,640,476,818
1.53659E+18,974,1023,988,963,1023,1017,959,1004,1022,640,477,818
1.53659E+18,973,1023,988,963,1023,1019,959,1005,1021,640,477,818
1.53659E+18,973,1023,988,963,1023,1019,958,1005,1021,640,477,818
1.53659E+18,974,1023,989,962,1023,1018,959,1004,1022,640,477,818
1.53659E+18,973,1023,988,963,1023,1018,958,1004,1021,640,477,818
1.53659E+18,972,1023,988,962,1023,1018,958,1005,1022,640,477,818
1.53659E+18,972,1023,989,962,1023,1019,958,1004,1022,639,477,818
1.53659E+18,972,1023,988,962,1023,1018,957,1004,1021,639,476,818
1.53659E+18,972,1023,987,963,1023,1017,958,1004,1021,639,476,818
1.53659E+18,971,1023,987,963,1023,1018,958,1004,1021,639,476,818
1.53659E+18,971,1023,988,961,1023,1018,958,1004,1021,638,477,818
1.53659E+18,971,1023,988,962,1023,1018,957,1004,1021,639,476,818
1.53659E+18,971,1023,987,962,1023,1018,958,1004,1022,639,476,818
1.53659E+18,971,1023,987,963,1023,1019,958,1004,1022,638,476,818
1.53659E+18,971,1023,987,962,1023,1018,958,1004,1022,638,476,817
1.53659E+18,970,1023,987,962,1023,1018,958,1005,1021,638,476,818
1.53659E+18,971,1023,988,962,1023,1017,957,1004,1021,638,476,817
1.53659E+18,971,1023,988,962,1023,1019,958,1004,1021,638,476,818
1.53659E+18,972,1023,987,961,1023,1018,958,1004,1021,638,476,817
1.53659E+18,972,1023,988,962,1023,1018,958,1004,1022,638,475,817
1.53659E+18,973,1023,989,962,1023,1019,958,1004,1022,637,475,817
1.53659E+18,972,1023,989,961,1023,1018,957,1004,1022,637,476,817
1.53659E+18,972,1023,990,962,1023,1018,958,1005,1021,637,476,817
1.53659E+18,971,1023,990,962,1023,1018,958,1004,1021,637,476,817
1.53659E+18,971,1023,990,961,1023,1018,958,1003,1022,638,476,817
1.53659E+18,970,1023,989,962,1023,1019,958,1004,1021,638,476,817
1.53659E+18,971,1023,989,962,1023,1018,958,1003,1021,637,476,818
1.53659E+18,971,1023,990,962,1023,1018,958,1003,1022,637,476,818
1.53659E+18,971,1023,989,962,1023,1018,958,1003,1022,637,476,817
1.53659E+18,969,1023,989,961,1023,1018,958,1004,1021,638,476,817
1.53659E+18,971,1023,990,961,1023,1018,959,1003,1021,638,476,817
1.53659E+18,971,1023,990,962,1023,1018,958,1005,1021,638,476,817
1.53659E+18,972,1023,990,962,1023,1017,958,1004,1021,638,476,818
1.53659E+18,971,1023,990,962,1023,1018,958,1004,1021,638,476,817
1.53659E+18,972,1023,990,961,1023,1018,958,1003,1021,639,476,817
1.53659E+18,971,1023,990,961,1023,1017,958,1003,1021,638,476,817
1.53659E+18,970,1023,991,961,1023,1017,958,1004,1022,638,476,817
1.53659E+18,971,1023,991,962,1023,1018,958,1004,1021,638,476,817
1.53659E+18,970,1023,991,961,1023,1018,958,1004,1022,638,476,817
1.53659E+18,970,1023,992,962,1023,1018,958,1004,1021,638,475,817
1.53659E+18,970,1023,992,962,1023,1017,957,1003,1021,637,476,817
1.53659E+18,971,1023,991,962,1023,1018,958,1003,1021,638,475,817
1.53659E+18,972,1023,991,961,1023,1017,957,1003,1021,638,476,817
1.53659E+18,972,1023,989,961,1023,1018,957,1003,1021,637,475,816
1.53659E+18,971,1023,990,961,1023,1018,957,1003,1021,637,475,817
1.53659E+18,971,1023,990,961,1023,1018,958,1003,1022,637,475,817
1.53659E+18,971,1023,990,961,1023,1018,958,1004,1021,637,475,817
