%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53667E+18,988,1019,974,863,1023,1023,913,1003,1023,579,536,903
1.53667E+18,988,1019,974,863,1023,1023,913,1003,1023,580,535,904
1.53667E+18,989,1019,974,863,1023,1023,913,1003,1023,580,536,904
1.53667E+18,989,1018,974,863,1023,1023,913,1003,1023,579,536,904
1.53667E+18,989,1019,974,862,1023,1023,913,1003,1023,579,536,903
1.53667E+18,989,1019,974,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1018,973,862,1023,1023,913,1002,1023,579,536,904
1.53667E+18,988,1019,973,862,1023,1023,913,1003,1023,579,536,904
1.53667E+18,989,1019,974,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1019,974,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,974,862,1023,1023,913,1004,1023,579,536,904
1.53667E+18,988,1019,974,862,1023,1023,913,1004,1023,579,536,904
1.53667E+18,988,1019,974,862,1023,1023,912,1004,1023,579,536,904
1.53667E+18,988,1020,974,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,974,862,1023,1023,913,1003,1023,580,536,904
1.53667E+18,988,1020,974,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,973,862,1023,1023,913,1003,1023,579,536,904
1.53667E+18,988,1019,974,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,974,861,1023,1023,913,1003,1023,579,536,904
1.53667E+18,988,1019,973,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1020,973,862,1023,1023,913,1004,1023,580,535,904
1.53667E+18,987,1019,974,862,1023,1023,912,1004,1023,579,536,904
1.53667E+18,988,1019,973,862,1023,1023,912,1003,1023,579,536,905
1.53667E+18,989,1019,974,862,1023,1023,912,1004,1023,579,536,903
1.53667E+18,988,1019,974,862,1023,1023,912,1004,1023,579,536,905
1.53667E+18,988,1019,973,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,973,861,1023,1023,912,1003,1023,579,536,903
1.53667E+18,988,1019,974,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1020,973,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,973,861,1023,1023,912,1004,1023,579,536,903
1.53667E+18,988,1018,974,861,1023,1023,912,1003,1023,579,536,903
1.53667E+18,987,1019,973,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1020,974,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,973,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,973,862,1023,1023,912,1002,1023,579,536,904
1.53667E+18,988,1019,973,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,974,862,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,973,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,974,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,974,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,974,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1020,973,861,1023,1023,912,1004,1023,579,536,904
1.53667E+18,988,1019,973,861,1023,1023,912,1004,1023,579,536,904
1.53667E+18,988,1019,974,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1018,973,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1019,973,861,1023,1023,912,1003,1023,580,536,903
1.53667E+18,989,1019,974,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1019,973,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1020,973,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1018,973,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1020,974,861,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1020,973,860,1023,1023,912,1003,1023,579,536,903
1.53667E+18,988,1020,973,860,1023,1023,912,1004,1023,579,535,904
1.53667E+18,988,1020,973,860,1023,1023,912,1003,1023,579,536,904
1.53667E+18,988,1020,974,860,1023,1023,911,1003,1023,579,536,903
1.53667E+18,989,1019,974,861,1023,1023,911,1003,1023,579,536,903
1.53667E+18,989,1020,973,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1020,974,861,1023,1023,912,1003,1023,579,535,904
1.53667E+18,990,1020,973,860,1023,1023,912,1002,1023,579,535,904
1.53667E+18,989,1019,974,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1020,974,860,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1020,974,861,1023,1023,913,1003,1023,579,536,903
1.53667E+18,989,1019,974,860,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1019,973,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,988,1019,973,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1019,973,860,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1020,974,860,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1020,974,860,1023,1023,912,1003,1023,579,536,904
1.53667E+18,989,1019,974,860,1023,1023,912,1004,1023,579,536,903
1.53667E+18,989,1020,973,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1019,973,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1018,973,861,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1019,974,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1019,974,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1020,974,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1019,973,860,1023,1023,911,1003,1023,579,535,904
1.53667E+18,989,1020,974,860,1023,1023,911,1003,1023,579,535,904
1.53667E+18,989,1019,974,860,1023,1023,912,1004,1023,579,535,903
1.53667E+18,989,1020,974,860,1023,1023,912,1003,1023,579,535,904
1.53667E+18,989,1019,974,860,1023,1023,912,1004,1023,579,535,903
1.53667E+18,988,1020,973,860,1023,1023,911,1003,1023,579,535,904
1.53667E+18,989,1020,973,860,1023,1023,911,1003,1023,578,535,904
1.53667E+18,989,1020,973,860,1023,1023,911,1003,1023,579,536,904
1.53667E+18,988,1019,974,860,1023,1023,911,1003,1023,578,536,904
