%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53666E+18,988,1023,970,924,1023,1011,906,999,1017,701,553,907
1.53666E+18,988,1023,970,924,1023,1010,907,998,1018,701,553,907
1.53666E+18,988,1023,970,924,1023,1010,907,998,1017,701,553,907
1.53666E+18,988,1023,970,924,1023,1010,906,999,1018,701,553,907
1.53666E+18,988,1023,970,924,1023,1010,907,998,1018,701,553,907
1.53666E+18,988,1023,971,924,1023,1010,906,998,1018,701,554,907
1.53666E+18,988,1023,970,924,1023,1010,907,999,1017,701,554,906
1.53666E+18,988,1023,970,924,1023,1011,907,999,1019,701,554,907
1.53666E+18,988,1023,969,924,1023,1010,907,999,1018,701,554,907
1.53666E+18,988,1023,970,924,1023,1011,907,999,1017,701,554,907
1.53666E+18,988,1023,969,924,1023,1010,906,999,1018,701,554,906
1.53666E+18,988,1023,970,924,1023,1011,907,998,1018,701,554,907
1.53666E+18,987,1023,969,924,1023,1011,906,999,1017,700,554,906
1.53666E+18,987,1023,970,924,1023,1010,906,999,1018,701,554,907
1.53666E+18,988,1023,969,925,1023,1010,907,999,1018,700,554,907
1.53666E+18,987,1023,970,924,1023,1010,907,999,1017,700,553,907
1.53666E+18,987,1023,969,923,1023,1011,908,998,1018,700,553,907
1.53666E+18,988,1023,969,924,1023,1010,906,999,1017,700,553,908
1.53666E+18,988,1023,969,924,1023,1011,907,999,1017,700,553,907
1.53666E+18,988,1023,970,924,1023,1011,906,999,1017,700,553,907
1.53666E+18,988,1023,969,924,1023,1010,907,998,1017,700,553,907
1.53666E+18,987,1023,969,924,1023,1009,906,998,1017,700,553,907
1.53666E+18,988,1023,969,924,1023,1010,906,999,1018,700,553,907
1.53666E+18,987,1023,970,924,1023,1011,906,999,1017,700,553,907
1.53666E+18,987,1023,970,924,1023,1010,906,1000,1018,700,553,907
1.53666E+18,987,1023,969,924,1023,1010,907,998,1018,700,553,907
1.53666E+18,987,1023,969,924,1023,1010,908,999,1018,700,553,907
1.53666E+18,988,1023,969,924,1023,1010,907,999,1019,701,553,907
1.53666E+18,988,1023,970,924,1023,1010,908,999,1018,701,553,907
1.53666E+18,987,1023,969,924,1023,1011,908,999,1018,701,553,907
1.53666E+18,988,1023,969,925,1023,1011,909,999,1018,701,553,907
1.53666E+18,988,1023,970,925,1023,1011,908,999,1018,701,553,907
1.53666E+18,988,1023,969,925,1023,1010,909,998,1017,701,553,907
1.53666E+18,988,1023,969,924,1023,1010,908,999,1017,701,553,907
1.53666E+18,987,1023,969,924,1023,1010,909,999,1018,701,553,907
1.53666E+18,988,1023,969,924,1023,1010,910,999,1017,701,553,907
1.53666E+18,988,1023,969,924,1023,1010,912,999,1018,701,553,907
1.53666E+18,988,1023,969,925,1023,1010,909,1000,1018,701,553,907
1.53666E+18,988,1023,969,925,1023,1010,910,1000,1018,702,553,907
1.53666E+18,988,1023,969,925,1023,1010,910,999,1017,701,553,907
1.53666E+18,987,1023,969,924,1023,1011,910,999,1018,701,553,907
1.53666E+18,988,1023,970,924,1023,1010,910,999,1018,701,553,907
1.53666E+18,987,1023,969,924,1023,1011,910,1000,1017,701,553,907
1.53666E+18,988,1023,970,925,1023,1010,910,999,1018,701,553,906
1.53666E+18,988,1023,969,924,1023,1011,909,999,1019,701,554,907
1.53666E+18,988,1023,970,924,1023,1011,909,999,1018,701,554,908
1.53666E+18,988,1023,969,924,1023,1010,909,999,1017,701,553,907
1.53666E+18,988,1023,969,924,1023,1011,908,1000,1018,700,553,907
1.53666E+18,988,1023,970,925,1023,1010,909,1000,1017,700,553,907
1.53666E+18,988,1023,970,925,1023,1011,908,999,1018,700,553,906
1.53666E+18,988,1023,969,924,1023,1010,909,998,1017,700,553,907
1.53666E+18,987,1023,969,924,1023,1012,908,999,1018,700,553,907
1.53666E+18,987,1023,969,924,1023,1010,908,1000,1017,700,553,906
1.53666E+18,988,1023,970,924,1023,1010,908,999,1018,700,553,907
1.53666E+18,988,1023,969,924,1023,1009,908,999,1018,700,553,906
1.53666E+18,988,1023,970,924,1023,1010,908,999,1018,700,553,907
1.53666E+18,987,1023,969,924,1023,1010,908,1000,1017,699,553,907
1.53666E+18,987,1023,969,924,1023,1010,909,1000,1018,700,553,907
1.53666E+18,987,1023,969,925,1023,1010,909,1000,1018,700,554,906
