%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.5366E+18,830,1023,955,888,1023,1000,834,975,1013,592,584,886
1.5366E+18,831,1023,955,888,1023,1000,834,976,1013,592,585,886
1.5366E+18,831,1023,955,888,1023,1000,835,975,1013,592,585,886
1.5366E+18,831,1023,955,889,1023,1000,835,976,1014,592,585,886
1.5366E+18,831,1023,956,889,1023,1000,834,975,1013,592,585,886
1.5366E+18,831,1023,956,889,1023,1000,834,976,1013,592,586,887
1.5366E+18,831,1023,956,889,1023,1000,836,975,1013,592,586,887
1.5366E+18,831,1023,957,889,1023,1000,835,975,1013,592,586,888
1.5366E+18,832,1023,957,889,1023,1000,835,975,1013,592,587,888
1.5366E+18,832,1023,957,889,1023,1000,835,975,1013,593,587,888
1.5366E+18,832,1023,958,889,1023,1000,836,975,1013,593,586,888
1.5366E+18,832,1023,958,889,1023,1000,836,975,1013,593,586,888
1.5366E+18,832,1023,958,889,1023,1000,836,975,1013,593,585,888
1.5366E+18,832,1023,957,888,1023,1000,836,976,1013,593,585,888
1.5366E+18,831,1023,958,889,1023,1000,836,975,1014,593,585,888
1.5366E+18,831,1023,958,889,1023,1000,836,976,1013,593,586,888
1.5366E+18,831,1023,959,889,1023,1001,836,976,1014,593,586,888
1.5366E+18,831,1023,958,889,1023,1000,837,976,1014,593,586,889
1.5366E+18,830,1023,959,889,1023,1001,837,975,1014,593,586,889
1.5366E+18,831,1023,959,889,1023,1000,837,976,1014,594,585,889
1.5366E+18,830,1023,959,889,1023,1000,836,975,1014,594,586,889
1.5366E+18,830,1023,958,889,1023,1000,836,975,1014,594,586,888
1.5366E+18,830,1023,958,889,1023,1000,836,975,1013,594,587,889
1.5366E+18,830,1023,957,889,1023,1000,836,976,1014,594,586,889
1.5366E+18,830,1023,957,888,1023,1001,836,975,1014,593,585,889
1.5366E+18,830,1023,957,889,1023,1001,836,976,1013,594,585,889
1.5366E+18,830,1023,957,888,1023,1000,836,975,1013,593,585,888
1.5366E+18,830,1023,957,889,1023,999,836,975,1014,593,584,889
1.5366E+18,830,1023,957,888,1023,1000,835,975,1014,593,584,888
1.5366E+18,830,1023,957,888,1023,1000,836,975,1014,593,584,888
1.5366E+18,829,1023,957,889,1023,999,836,975,1014,592,584,888
1.5366E+18,829,1023,957,888,1023,1000,836,975,1013,592,584,888
1.5366E+18,829,1023,957,888,1023,1000,836,975,1014,592,583,888
1.5366E+18,829,1023,957,889,1023,1000,836,976,1013,592,583,888
1.5366E+18,829,1023,956,889,1023,1000,836,975,1014,592,583,888
1.5366E+18,829,1023,956,888,1023,1000,836,976,1014,592,583,888
1.5366E+18,829,1023,956,889,1023,1000,835,976,1013,592,583,888
1.5366E+18,829,1023,956,889,1023,1000,835,976,1014,592,583,888
1.5366E+18,830,1023,957,889,1023,999,835,976,1014,592,583,888
1.5366E+18,830,1023,956,888,1023,1000,835,976,1014,592,583,887
1.5366E+18,830,1023,956,888,1023,1001,835,976,1015,592,582,888
1.5366E+18,830,1023,956,889,1023,1000,835,976,1014,592,582,888
1.5366E+18,830,1023,955,888,1023,1001,835,976,1014,591,582,888
1.5366E+18,830,1023,955,888,1023,1001,835,976,1015,591,582,888
1.5366E+18,829,1023,955,889,1023,1001,836,976,1015,591,582,888
1.5366E+18,830,1023,956,888,1023,1001,836,975,1013,591,582,888
1.5366E+18,830,1023,956,888,1023,1001,835,976,1014,591,582,888
1.5366E+18,831,1023,956,889,1023,1001,835,976,1014,591,582,888
1.5366E+18,831,1023,956,889,1023,1001,835,976,1014,591,582,888
1.5366E+18,831,1023,955,888,1023,1001,835,976,1014,591,582,888
1.5366E+18,830,1023,955,888,1023,1001,834,976,1014,591,582,888
1.5366E+18,830,1023,955,888,1023,1001,835,975,1015,591,582,888
1.5366E+18,830,1023,954,888,1023,1001,835,976,1014,591,582,887
1.5366E+18,831,1023,955,889,1023,1001,835,976,1014,591,581,888
1.5366E+18,830,1023,955,888,1023,1001,834,976,1014,591,581,888
1.5366E+18,830,1023,955,888,1023,1001,834,976,1014,591,581,888
1.5366E+18,830,1023,955,888,1023,1001,834,976,1014,591,581,887
1.5366E+18,830,1023,955,888,1023,1001,834,976,1014,591,581,887
1.5366E+18,830,1023,954,888,1023,1000,834,976,1014,591,581,887
1.5366E+18,830,1023,955,888,1023,1001,835,976,1015,590,581,887
1.5366E+18,831,1023,955,888,1023,1001,834,976,1014,591,581,887
1.5366E+18,832,1023,955,888,1023,1001,834,976,1014,591,580,888
1.5366E+18,831,1023,955,888,1023,1001,834,976,1013,591,580,887
1.5366E+18,831,1023,954,888,1023,1001,835,976,1014,590,581,887
1.5366E+18,831,1023,955,888,1023,1001,834,976,1013,591,581,887
1.5366E+18,831,1023,955,888,1023,1001,834,976,1014,590,581,887
1.5366E+18,830,1023,955,888,1023,1001,834,976,1014,590,581,887
1.5366E+18,831,1023,955,888,1023,1001,834,975,1015,590,580,887
1.5366E+18,831,1023,954,888,1023,1001,835,976,1014,590,580,887
1.5366E+18,830,1023,953,888,1023,1001,834,976,1014,590,580,887
1.5366E+18,830,1023,953,888,1023,1001,834,976,1014,590,580,887
1.5366E+18,830,1023,953,889,1023,1001,834,976,1014,590,580,887
1.5366E+18,831,1023,953,889,1023,1001,834,976,1014,590,580,887
1.5366E+18,830,1023,953,889,1023,1001,834,976,1015,590,580,887
1.5366E+18,830,1023,953,889,1023,1000,834,976,1014,590,581,887
1.5366E+18,830,1023,954,889,1023,1001,834,975,1015,590,580,887
1.5366E+18,830,1023,954,889,1023,1001,834,976,1015,590,580,887
1.5366E+18,830,1023,954,889,1023,1001,834,976,1014,590,580,886
1.5366E+18,830,1023,953,889,1023,1001,834,976,1013,590,580,887
1.5366E+18,830,1023,953,889,1023,1001,834,976,1015,590,580,887
1.5366E+18,830,1023,953,889,1023,1001,834,976,1014,590,579,887
1.5366E+18,830,1023,953,889,1023,1001,834,976,1014,590,580,886
1.5366E+18,830,1023,954,889,1023,1001,834,976,1014,590,580,887
1.5366E+18,830,1023,953,888,1023,1001,833,976,1014,590,580,886
1.5366E+18,831,1023,953,888,1023,1001,833,976,1014,590,581,886
1.5366E+18,830,1023,953,888,1023,1000,834,976,1015,590,581,886
1.5366E+18,830,1023,953,888,1023,1001,834,976,1014,590,581,887
1.5366E+18,830,1023,952,888,1023,1000,834,976,1014,590,580,886
1.5366E+18,829,1023,952,888,1023,1001,834,976,1015,590,580,886
1.5366E+18,830,1023,952,888,1023,1000,834,976,1014,590,580,887
1.5366E+18,829,1023,952,888,1023,1001,834,976,1014,590,580,886
1.5366E+18,829,1023,952,888,1023,1000,835,976,1015,590,580,886
1.5366E+18,829,1023,953,888,1023,1000,835,976,1014,590,580,887
1.5366E+18,830,1023,953,888,1023,1000,835,976,1014,590,579,886
1.5366E+18,830,1023,952,888,1023,1000,835,976,1014,590,580,886
1.5366E+18,831,1023,952,888,1023,1000,835,976,1014,590,580,887
1.5366E+18,830,1023,951,888,1023,1001,835,976,1015,590,580,887
1.5366E+18,830,1023,952,888,1023,1001,835,976,1014,590,579,886
1.5366E+18,829,1023,952,888,1023,1001,834,976,1014,590,579,886
1.5366E+18,830,1023,952,888,1023,1001,835,976,1015,590,579,887
1.5366E+18,829,1023,952,888,1023,1001,835,976,1014,590,579,886
1.5366E+18,829,1023,952,888,1023,1001,834,976,1014,590,579,886
1.5366E+18,829,1023,952,888,1023,1001,835,976,1014,590,579,886
1.5366E+18,829,1023,952,888,1023,1001,835,976,1014,590,579,886
1.5366E+18,829,1023,952,888,1023,1001,834,976,1014,590,579,886
1.5366E+18,829,1023,952,888,1023,1001,834,977,1014,590,579,886
1.5366E+18,829,1023,952,888,1023,1001,834,976,1015,590,579,886
1.5366E+18,830,1023,952,888,1023,1001,834,976,1014,590,579,886
1.5366E+18,829,1023,952,888,1023,1001,834,976,1014,589,579,885
1.5366E+18,829,1023,952,888,1023,1001,834,976,1014,589,579,886
1.5366E+18,829,1023,951,888,1023,1001,834,976,1014,589,579,885
1.5366E+18,828,1023,951,888,1023,1001,833,976,1014,589,579,886
1.5366E+18,828,1023,951,888,1023,1001,834,976,1014,589,579,885
1.5366E+18,828,1023,951,888,1023,1001,833,976,1014,589,579,886
1.5366E+18,828,1023,951,887,1023,1001,834,976,1014,589,579,886
1.5366E+18,828,1023,951,888,1023,1001,833,976,1014,589,579,886
1.5366E+18,828,1023,951,888,1023,1001,834,976,1015,589,579,886
1.5366E+18,828,1023,951,888,1023,1001,833,976,1014,589,579,886
1.5366E+18,828,1023,951,888,1023,1001,834,976,1014,589,579,886
1.5366E+18,828,1023,951,887,1023,1001,834,976,1014,589,579,886
1.5366E+18,828,1023,951,887,1023,1001,834,976,1014,589,580,886
1.5366E+18,828,1023,951,888,1023,1001,834,976,1014,589,580,885
1.5366E+18,828,1023,952,887,1023,1001,833,976,1014,589,580,885
1.5366E+18,828,1023,951,888,1023,1001,834,976,1015,589,580,886
1.5366E+18,827,1023,951,887,1023,1001,834,976,1014,589,580,885
1.5366E+18,828,1023,951,887,1023,1001,835,976,1014,589,580,885
1.5366E+18,828,1023,951,887,1023,1001,834,976,1014,589,580,885
1.5366E+18,828,1023,951,887,1023,1001,835,976,1014,589,580,885
1.5366E+18,828,1023,951,887,1023,1001,835,976,1014,589,580,885
1.5366E+18,827,1023,951,886,1023,1001,834,977,1013,589,580,885
1.5366E+18,828,1023,950,887,1023,1001,834,977,1014,589,580,885
1.5366E+18,828,1023,951,886,1023,1001,834,976,1014,589,580,885
1.5366E+18,828,1023,951,887,1023,1001,835,976,1014,589,579,886
1.5366E+18,828,1023,951,887,1023,1001,834,976,1014,589,579,885
1.5366E+18,828,1023,950,888,1023,1001,834,976,1015,589,579,886
1.5366E+18,828,1023,950,888,1023,1001,834,976,1014,588,579,885
1.5366E+18,828,1023,949,888,1023,1001,834,977,1014,589,579,885
1.5366E+18,828,1023,950,888,1023,1001,834,976,1014,588,579,886
1.5366E+18,828,1023,950,888,1023,1000,835,976,1015,588,578,886
1.5366E+18,828,1023,950,887,1023,1001,834,976,1014,588,579,885
1.5366E+18,828,1023,950,888,1023,1000,835,976,1014,588,579,886
1.5366E+18,828,1023,951,888,1023,1001,835,977,1014,589,579,886
1.5366E+18,828,1023,950,888,1023,1001,835,975,1014,589,578,886
1.5366E+18,828,1023,950,888,1023,1001,835,977,1014,589,578,885
1.5366E+18,828,1023,950,888,1023,1001,835,976,1014,589,578,886
1.5366E+18,828,1023,950,888,1023,1001,835,976,1014,589,579,885
1.5366E+18,828,1023,950,888,1023,1000,836,976,1015,589,578,885
1.5366E+18,828,1023,950,888,1023,1001,836,976,1014,589,578,886
1.5366E+18,829,1023,950,888,1023,1001,836,976,1015,589,578,886
1.5366E+18,828,1023,951,888,1023,1001,836,976,1014,589,578,885
1.5366E+18,828,1023,950,889,1023,1001,836,976,1014,589,578,885
1.5366E+18,828,1023,950,889,1023,1001,837,976,1014,589,578,885
1.5366E+18,829,1023,950,889,1023,1001,836,976,1014,589,578,885
1.5366E+18,829,1023,950,888,1023,1001,836,976,1014,589,578,885
1.5366E+18,829,1023,951,889,1023,1001,836,976,1014,589,578,885
1.5366E+18,829,1023,951,888,1023,1002,836,976,1014,589,578,886
1.5366E+18,829,1023,951,888,1023,1001,836,976,1015,589,578,885
1.5366E+18,828,1023,950,888,1023,1001,836,976,1014,589,578,885
1.5366E+18,828,1023,949,889,1023,1001,836,976,1015,589,578,886
1.5366E+18,828,1023,950,889,1023,1001,836,977,1014,589,578,886
1.5366E+18,828,1023,951,889,1023,1001,837,976,1015,590,578,885
1.5366E+18,828,1023,950,888,1023,1001,836,976,1015,590,578,885
1.5366E+18,829,1023,951,889,1023,1001,837,977,1016,590,578,886
1.5366E+18,828,1023,951,888,1023,1001,837,977,1015,590,578,886
1.5366E+18,828,1023,951,888,1023,1002,837,979,1015,590,578,886
1.5366E+18,828,1023,951,888,1023,1002,837,977,1016,591,578,886
1.5366E+18,829,1023,950,888,1023,1002,837,977,1015,590,577,886
1.5366E+18,829,1023,951,888,1023,1002,836,977,1015,591,578,886
1.5366E+18,829,1023,950,888,1023,1001,837,977,1015,590,578,886
1.5366E+18,829,1023,951,888,1023,1001,836,977,1015,590,578,886
1.5366E+18,829,1023,951,888,1023,1001,836,977,1014,590,578,886
1.5366E+18,830,1023,951,888,1023,1001,837,976,1015,590,578,886
1.5366E+18,830,1023,951,888,1023,1001,837,977,1014,590,578,886
1.5366E+18,830,1023,951,889,1023,1001,837,976,1015,590,578,885
1.5366E+18,829,1023,950,888,1023,1001,836,977,1014,590,578,885
1.5366E+18,829,1023,951,888,1023,1001,837,977,1015,591,578,886
1.5366E+18,830,1023,951,889,1023,1001,837,977,1015,591,578,886
1.5366E+18,831,1023,951,889,1023,1002,837,977,1015,591,578,886
