%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53665E+18,932,975,949,931,1023,1012,971,1014,1023,748,603,909
1.53665E+18,933,974,949,931,1023,1013,970,1015,1023,747,603,908
1.53665E+18,933,974,948,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,933,975,949,932,1023,1013,970,1015,1023,748,603,908
1.53665E+18,933,974,948,931,1023,1012,970,1014,1023,747,603,908
1.53665E+18,933,973,948,931,1023,1012,970,1015,1023,748,603,908
1.53665E+18,933,975,949,933,1023,1013,971,1014,1023,747,603,908
1.53665E+18,933,975,948,932,1023,1012,970,1014,1023,747,603,908
1.53665E+18,933,974,948,932,1023,1013,970,1014,1023,747,603,909
1.53665E+18,933,974,949,932,1023,1013,970,1014,1023,747,604,909
1.53665E+18,933,974,949,932,1023,1012,971,1014,1023,747,603,908
1.53665E+18,932,974,949,931,1023,1013,970,1014,1023,747,603,909
1.53665E+18,933,975,948,932,1023,1012,970,1015,1023,747,603,908
1.53665E+18,933,974,949,931,1023,1013,970,1013,1023,747,604,908
1.53665E+18,933,975,949,931,1023,1013,970,1014,1023,747,604,908
1.53665E+18,933,974,948,932,1023,1013,969,1015,1023,747,604,908
1.53665E+18,933,974,948,932,1023,1013,970,1015,1023,747,604,908
1.53665E+18,933,976,949,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,933,975,949,931,1023,1013,969,1014,1023,747,603,908
1.53665E+18,933,975,949,932,1023,1012,969,1015,1023,747,603,908
1.53665E+18,933,975,948,931,1023,1013,970,1014,1023,747,604,909
1.53665E+18,933,975,948,932,1023,1012,969,1014,1023,747,603,908
1.53665E+18,933,975,949,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,933,975,949,932,1023,1012,970,1015,1023,747,603,909
1.53665E+18,933,975,949,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,933,975,948,932,1023,1012,970,1014,1023,747,603,908
1.53665E+18,933,975,949,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,933,974,949,932,1023,1013,969,1014,1023,747,603,908
1.53665E+18,933,974,949,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,932,975,949,932,1023,1013,970,1015,1023,747,603,908
1.53665E+18,933,974,948,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,933,975,949,932,1023,1012,969,1015,1023,747,603,908
1.53665E+18,932,976,949,932,1023,1013,970,1014,1023,747,603,909
1.53665E+18,932,975,948,932,1023,1012,969,1014,1023,747,603,908
1.53665E+18,933,975,949,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,933,974,949,932,1023,1012,969,1015,1023,747,603,908
1.53665E+18,933,975,949,932,1023,1013,970,1014,1023,747,603,908
1.53665E+18,932,975,948,932,1023,1012,970,1014,1023,747,603,909
1.53665E+18,933,975,948,932,1023,1012,970,1014,1023,747,603,908
1.53665E+18,933,974,949,933,1023,1012,970,1016,1023,747,604,908
1.53665E+18,933,975,948,932,1023,1013,970,1015,1023,747,604,909
1.53665E+18,932,975,948,931,1023,1013,970,1014,1023,747,603,909
1.53665E+18,933,974,948,932,1023,1013,970,1014,1023,747,603,909
1.53665E+18,932,974,949,932,1023,1013,970,1015,1023,747,603,909
1.53665E+18,932,975,948,932,1023,1013,970,1015,1023,747,603,908
1.53665E+18,932,975,948,932,1023,1012,970,1014,1023,747,603,909
