%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53659E+18,967,1015,1006,718,989,963,754,868,997,540,529,871
1.53659E+18,966,1014,1007,718,989,963,754,868,997,540,529,870
1.53659E+18,967,1013,1007,718,989,963,754,868,997,539,529,870
1.53659E+18,966,1013,1006,717,989,963,754,867,996,540,529,870
1.53659E+18,967,1015,1005,718,989,962,754,868,997,540,529,870
1.53659E+18,967,1015,1007,718,989,962,754,867,996,540,529,870
1.53659E+18,967,1014,1006,718,988,962,754,867,996,539,529,870
1.53659E+18,966,1014,1006,717,988,962,754,867,997,540,528,870
1.53659E+18,966,1013,1006,717,989,962,754,868,996,540,529,870
1.53659E+18,967,1015,1005,717,988,961,754,867,996,540,529,871
1.53659E+18,967,1014,1005,718,988,962,754,867,996,540,529,870
1.53659E+18,967,1014,1005,718,989,961,754,867,996,540,529,871
1.53659E+18,966,1014,1006,717,988,962,754,867,996,540,529,870
1.53659E+18,967,1014,1005,717,988,962,754,867,996,540,529,870
1.53659E+18,967,1014,1006,717,989,962,754,867,996,540,529,870
1.53659E+18,967,1014,1005,717,988,962,754,867,996,540,529,871
1.53659E+18,966,1013,1006,718,989,962,754,867,996,539,529,870
1.53659E+18,966,1014,1006,718,988,962,754,867,996,540,529,870
1.53659E+18,966,1013,1005,717,989,961,754,866,996,540,529,870
1.53659E+18,967,1014,1005,717,989,961,754,867,996,539,529,870
1.53659E+18,967,1014,1006,717,988,961,753,867,996,540,529,870
1.53659E+18,967,1014,1005,717,989,961,754,866,995,540,529,870
1.53659E+18,966,1013,1006,717,988,960,754,866,996,540,529,870
1.53659E+18,966,1014,1005,717,989,961,754,866,996,540,529,870
1.53659E+18,966,1014,1005,717,988,961,753,866,997,540,529,870
1.53659E+18,966,1014,1005,717,988,961,754,866,996,540,529,870
1.53659E+18,966,1014,1005,717,988,961,754,867,996,540,529,870
1.53659E+18,967,1013,1006,717,988,961,754,866,995,540,529,870
1.53659E+18,966,1013,1005,717,989,961,754,866,995,540,529,870
1.53659E+18,967,1013,1005,717,988,960,753,866,995,540,529,870
1.53659E+18,967,1013,1005,717,988,961,753,866,997,540,529,870
1.53659E+18,966,1014,1006,717,988,961,754,866,996,540,529,871
1.53659E+18,966,1013,1006,717,988,961,754,866,996,540,529,870
1.53659E+18,966,1014,1007,717,988,961,754,867,996,540,529,871
1.53659E+18,966,1014,1007,717,988,961,753,866,995,539,529,870
1.53659E+18,966,1013,1006,717,988,961,754,866,996,539,529,870
1.53659E+18,966,1013,1006,717,988,961,754,866,996,540,529,871
1.53659E+18,966,1013,1007,717,988,960,754,866,996,539,529,870
1.53659E+18,966,1013,1007,717,989,960,753,866,996,539,529,870
1.53659E+18,967,1013,1006,717,988,961,754,866,996,540,529,871
1.53659E+18,967,1013,1006,717,988,961,754,866,996,540,529,870
1.53659E+18,967,1013,1006,716,988,960,754,867,995,539,529,870
1.53659E+18,966,1013,1006,717,988,961,754,866,996,540,529,871
1.53659E+18,966,1013,1007,717,988,960,754,866,995,539,529,870
1.53659E+18,966,1014,1007,717,988,960,754,866,996,540,529,871
1.53659E+18,967,1013,1005,717,988,960,754,866,996,540,529,871
1.53659E+18,966,1014,1005,717,987,960,754,866,996,540,529,870
1.53659E+18,966,1014,1006,717,988,960,754,866,996,540,529,870
1.53659E+18,966,1014,1006,717,988,960,754,867,996,539,529,871
1.53659E+18,966,1014,1005,717,987,960,754,866,996,539,529,870
