%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53659E+18,911,935,952,894,1023,955,908,1010,1022,758,492,864
1.53659E+18,911,934,952,895,1023,954,908,1010,1022,758,492,863
1.53659E+18,911,934,953,894,1023,955,908,1011,1022,758,492,863
1.53659E+18,911,934,952,894,1023,954,908,1011,1022,757,492,864
1.53659E+18,911,934,953,894,1023,955,908,1010,1022,757,492,863
1.53659E+18,911,935,952,894,1023,955,908,1010,1022,758,492,864
1.53659E+18,911,934,953,894,1023,954,908,1010,1022,758,492,864
1.53659E+18,911,934,953,894,1023,955,907,1010,1022,757,492,863
1.53659E+18,911,935,952,895,1023,955,908,1010,1022,757,492,864
1.53659E+18,911,934,952,894,1023,955,908,1010,1022,758,492,864
1.53659E+18,911,934,952,894,1023,954,908,1010,1022,757,492,863
1.53659E+18,911,934,952,894,1023,955,908,1010,1020,757,492,863
1.53659E+18,910,935,952,895,1023,955,909,1010,1022,757,492,864
1.53659E+18,911,935,952,894,1023,955,908,1011,1022,757,492,863
1.53659E+18,911,934,952,895,1023,954,909,1011,1022,757,491,863
1.53659E+18,912,935,952,894,1023,954,908,1011,1021,757,492,863
1.53659E+18,911,934,952,894,1023,955,908,1010,1022,757,492,863
1.53659E+18,911,934,951,894,1023,955,908,1010,1022,758,492,863
1.53659E+18,912,935,952,894,1023,954,908,1010,1022,758,492,863
1.53659E+18,911,934,952,894,1023,954,909,1010,1023,757,492,864
1.53659E+18,912,935,951,895,1023,954,908,1010,1022,757,492,863
1.53659E+18,911,934,953,893,1023,954,907,1010,1022,757,492,863
1.53659E+18,911,934,953,895,1023,955,908,1010,1021,757,492,864
1.53659E+18,911,934,952,894,1023,955,908,1010,1022,757,492,863
1.53659E+18,911,934,952,894,1023,954,908,1009,1021,758,492,863
1.53659E+18,911,934,952,894,1023,954,908,1010,1021,758,492,863
1.53659E+18,911,934,952,894,1023,954,908,1010,1022,757,492,864
1.53659E+18,911,935,952,894,1023,955,908,1011,1022,757,492,863
1.53659E+18,911,935,952,894,1023,955,908,1010,1022,757,492,863
1.53659E+18,911,934,952,894,1023,955,908,1009,1023,757,492,863
1.53659E+18,911,935,951,894,1023,954,908,1010,1022,757,492,863
1.53659E+18,911,934,952,893,1023,954,908,1010,1022,757,492,863
1.53659E+18,911,934,951,894,1023,955,908,1010,1022,758,492,863
1.53659E+18,911,933,952,894,1023,954,908,1010,1022,757,492,863
1.53659E+18,911,934,951,894,1023,954,908,1010,1022,757,492,863
1.53659E+18,911,934,951,895,1023,955,907,1009,1022,757,492,864
1.53659E+18,911,934,952,894,1023,955,908,1010,1022,757,492,863
1.53659E+18,911,935,952,895,1023,954,908,1010,1022,758,492,863
1.53659E+18,911,934,951,894,1023,954,907,1011,1023,757,492,863
1.53659E+18,911,934,952,894,1023,955,908,1011,1021,757,492,863
1.53659E+18,911,935,952,895,1023,954,907,1011,1022,757,492,863
1.53659E+18,911,935,952,894,1023,954,908,1011,1021,757,492,863
1.53659E+18,910,934,951,895,1023,954,907,1010,1021,757,492,863
1.53659E+18,911,935,952,894,1023,955,907,1010,1022,757,492,864
1.53659E+18,911,935,952,894,1023,954,907,1011,1022,757,492,863
1.53659E+18,911,934,951,894,1023,955,907,1011,1022,757,492,863
1.53659E+18,911,935,951,895,1023,954,908,1011,1022,757,492,863
1.53659E+18,911,935,951,894,1023,954,908,1010,1022,757,492,863
1.53659E+18,912,935,950,894,1023,954,908,1010,1021,757,492,863
1.53659E+18,912,934,952,894,1023,954,907,1010,1022,757,492,863
1.53659E+18,912,935,951,894,1023,954,908,1011,1022,757,492,863
1.53659E+18,911,935,951,894,1023,953,907,1010,1022,757,492,863
