%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53667E+18,937,1004,971,932,1023,994,865,989,1006,611,579,886
1.53667E+18,938,1004,971,932,1023,994,865,988,1006,611,580,887
1.53667E+18,938,1004,970,932,1023,993,865,987,1007,611,579,886
1.53667E+18,937,1004,971,931,1023,993,865,988,1006,611,580,887
1.53667E+18,938,1003,971,931,1023,994,865,989,1007,611,579,886
1.53667E+18,937,1004,971,932,1023,994,865,988,1007,611,579,886
1.53667E+18,937,1003,970,932,1023,994,865,988,1007,611,579,886
1.53667E+18,937,1004,971,932,1023,994,865,988,1007,611,579,886
1.53667E+18,937,1004,971,932,1023,993,864,989,1006,611,579,887
1.53667E+18,938,1004,971,931,1023,994,864,988,1007,611,579,886
1.53667E+18,938,1003,971,932,1023,995,864,988,1007,611,579,886
1.53667E+18,937,1004,971,931,1023,994,864,987,1006,611,579,886
1.53667E+18,938,1004,971,931,1023,994,865,988,1007,611,579,886
1.53667E+18,938,1003,971,932,1023,993,865,987,1006,611,579,886
1.53667E+18,936,1004,971,931,1023,994,865,988,1007,611,579,886
1.53667E+18,938,1004,972,931,1023,995,864,988,1007,611,579,887
1.53667E+18,937,1003,971,932,1023,994,865,988,1008,610,578,887
1.53667E+18,937,1004,972,931,1023,994,865,989,1007,611,579,886
1.53667E+18,938,1004,973,932,1023,996,865,988,1007,610,578,887
1.53667E+18,937,1004,972,932,1023,995,864,988,1007,610,578,887
1.53667E+18,937,1003,972,931,1023,994,865,988,1007,610,578,887
1.53667E+18,938,1004,972,931,1023,994,865,988,1007,610,578,887
1.53667E+18,937,1004,972,931,1023,994,865,989,1007,610,579,887
1.53667E+18,937,1004,972,932,1023,995,865,988,1007,610,578,887
1.53667E+18,937,1003,972,932,1023,995,864,988,1007,610,578,887
1.53667E+18,938,1004,973,931,1023,995,864,988,1007,610,579,888
1.53667E+18,939,1003,973,931,1023,994,864,987,1006,611,578,887
1.53667E+18,939,1004,973,931,1023,993,864,988,1007,610,578,887
1.53667E+18,939,1004,973,931,1023,994,864,988,1007,610,578,887
1.53667E+18,939,1004,973,931,1023,994,864,988,1007,610,578,887
1.53667E+18,939,1005,973,931,1023,994,864,988,1007,610,578,887
1.53667E+18,939,1005,973,931,1023,994,863,987,1007,611,578,887
1.53667E+18,939,1005,973,931,1023,995,863,988,1007,611,578,887
1.53667E+18,938,1006,973,931,1023,995,863,988,1007,610,578,887
1.53667E+18,939,1006,974,931,1023,995,863,987,1008,610,577,887
1.53667E+18,939,1005,975,931,1023,995,863,988,1007,610,577,887
1.53667E+18,939,1006,974,931,1023,995,863,988,1008,610,577,888
1.53667E+18,939,1006,975,933,1023,996,863,987,1007,610,577,887
1.53667E+18,939,1006,975,931,1023,996,863,987,1008,610,578,887
1.53667E+18,938,1006,975,931,1023,996,863,988,1008,610,578,887
1.53667E+18,939,1006,975,932,1023,996,863,988,1007,610,577,887
1.53667E+18,938,1007,975,932,1023,995,863,987,1007,610,577,887
1.53667E+18,939,1008,974,932,1023,996,863,987,1007,610,577,887
1.53667E+18,941,1007,975,931,1023,996,862,987,1007,610,577,887
1.53667E+18,939,1008,974,931,1023,995,862,987,1007,610,577,887
1.53667E+18,941,1008,974,931,1023,996,863,988,1007,610,577,887
1.53667E+18,941,1007,974,931,1023,996,863,987,1007,610,577,887
1.53667E+18,940,1007,975,930,1023,995,862,988,1007,609,577,887
1.53667E+18,940,1007,975,931,1023,995,862,988,1008,610,577,887
1.53667E+18,940,1007,975,931,1023,995,862,987,1007,610,577,887
1.53667E+18,940,1007,974,931,1023,996,861,987,1007,610,577,886
1.53667E+18,940,1007,974,931,1023,995,862,988,1008,609,577,886
1.53667E+18,941,1007,975,931,1023,995,862,987,1007,609,576,887
1.53667E+18,940,1008,974,931,1023,995,862,988,1007,609,577,887
1.53667E+18,939,1009,974,931,1023,996,862,987,1007,610,577,887
1.53667E+18,939,1008,975,931,1023,996,861,987,1007,609,576,887
1.53667E+18,940,1009,975,931,1023,995,862,987,1007,609,576,887
1.53667E+18,940,1009,975,931,1023,995,862,987,1006,609,576,887
1.53667E+18,939,1008,975,931,1023,995,861,988,1006,609,576,887
1.53667E+18,939,1009,975,931,1023,996,861,988,1007,609,576,887
1.53667E+18,939,1009,975,931,1023,996,862,987,1007,609,577,887
1.53667E+18,939,1008,976,931,1023,997,862,988,1008,609,577,889
1.53667E+18,939,1008,976,931,1023,997,861,988,1008,609,576,889
1.53667E+18,940,1008,976,932,1023,996,861,988,1007,609,576,888
1.53667E+18,940,1008,977,932,1023,996,861,988,1008,609,576,888
1.53667E+18,940,1009,976,931,1023,997,861,987,1008,609,576,888
1.53667E+18,939,1008,977,930,1023,996,861,988,1008,609,577,889
1.53667E+18,939,1008,976,931,1023,996,861,987,1009,609,577,889
1.53667E+18,939,1009,976,931,1023,996,861,988,1008,609,577,889
1.53667E+18,939,1008,977,931,1023,996,861,988,1008,609,577,889
1.53667E+18,939,1009,977,931,1023,996,862,988,1007,610,578,889
1.53667E+18,939,1009,977,932,1023,996,861,988,1007,610,578,888
1.53667E+18,939,1009,976,931,1023,996,862,988,1008,610,577,888
1.53667E+18,939,1008,976,931,1023,996,861,988,1008,610,578,888
1.53667E+18,939,1008,975,930,1023,996,861,987,1007,610,577,888
1.53667E+18,940,1008,975,931,1023,997,862,988,1008,610,577,888
1.53667E+18,939,1008,976,931,1023,996,861,988,1007,610,577,888
1.53667E+18,938,1008,975,931,1023,997,862,987,1007,609,577,888
1.53667E+18,939,1008,975,931,1023,996,862,988,1007,609,577,888
1.53667E+18,938,1008,975,931,1023,996,861,988,1007,609,577,887
1.53667E+18,939,1007,975,932,1023,997,861,987,1007,609,577,888
1.53667E+18,939,1008,975,932,1023,997,861,987,1007,609,577,888
1.53667E+18,939,1008,975,932,1023,997,862,989,1008,609,577,889
1.53667E+18,941,1008,975,933,1023,997,861,987,1006,609,577,888
1.53667E+18,941,1008,974,931,1023,996,861,988,1007,609,577,888
1.53667E+18,940,1008,975,931,1023,996,861,988,1007,609,577,888
1.53667E+18,941,1008,975,932,1023,996,861,988,1006,609,577,889
1.53667E+18,941,1007,975,931,1023,996,861,988,1007,609,577,888
1.53667E+18,941,1008,975,931,1023,996,861,987,1006,609,577,887
1.53667E+18,941,1007,975,930,1023,996,861,987,1007,609,577,888
1.53667E+18,940,1008,975,931,1023,995,861,988,1006,609,577,889
1.53667E+18,940,1007,976,931,1023,996,861,988,1007,609,578,888
1.53667E+18,940,1008,976,931,1023,996,861,987,1007,609,577,888
1.53667E+18,940,1008,976,931,1023,996,861,987,1006,609,577,889
1.53667E+18,941,1008,976,931,1023,996,861,987,1006,609,576,889
