%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,,,,
1.53658E+18,781,895,898,818,1023,971,844,923,1014,661,554,883,,,,
1.53658E+18,780,895,898,818,1023,970,843,923,1014,662,554,883,,,,
1.53658E+18,781,895,898,819,1023,971,844,923,1014,662,554,883,,,,
1.53658E+18,781,895,899,818,1023,971,844,923,1014,662,554,883,,,,
1.53658E+18,781,896,898,818,1023,971,843,923,1014,662,554,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,922,1014,662,554,883,,,,
1.53658E+18,781,895,897,818,1023,971,843,922,1014,662,554,883,,,,
1.53658E+18,781,894,899,819,1023,970,843,923,1014,662,554,884,,,,
1.53658E+18,781,895,898,818,1023,970,843,922,1014,662,554,883,,,,
1.53658E+18,781,895,898,819,1023,970,843,923,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,923,1013,662,554,883,,,,
1.53658E+18,781,894,898,819,1023,970,843,922,1014,662,554,884,,,,
1.53658E+18,781,895,898,819,1023,971,844,922,1013,661,554,883,,,,
1.53658E+18,780,895,898,818,1023,970,843,923,1014,662,554,883,,,,
1.53658E+18,781,895,898,819,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,819,1023,971,843,923,1014,662,554,883,,,,
1.53658E+18,781,895,899,819,1023,971,843,922,1014,662,554,883,,,,
1.53658E+18,781,894,898,819,1023,971,843,922,1014,662,555,884,,,,
1.53658E+18,781,895,899,819,1023,972,843,922,1014,661,554,883,,,,
1.53658E+18,780,894,898,818,1023,971,844,922,1013,662,554,883,,,,
1.53658E+18,780,895,898,819,1023,971,843,922,1014,662,554,883,,,,
1.53658E+18,781,895,899,818,1023,971,843,922,1013,662,554,883,,,,
1.53658E+18,781,895,899,818,1023,970,843,922,1013,662,554,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,921,1015,662,554,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,922,1014,662,554,884,,,,
1.53658E+18,780,895,898,818,1023,971,844,922,1013,661,554,883,,,,
1.53658E+18,781,895,899,818,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,922,1013,661,554,883,,,,
1.53658E+18,780,894,898,818,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,819,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,899,818,1023,971,843,922,1014,662,554,883,,,,
1.53658E+18,781,895,899,818,1023,970,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,922,1014,661,554,884,,,,
1.53658E+18,781,895,898,818,1023,970,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,971,843,922,1014,661,554,884,,,,
1.53658E+18,782,895,899,818,1023,971,844,922,1014,661,554,883,,,,
1.53658E+18,781,895,897,818,1023,970,843,922,1014,661,554,884,,,,
1.53658E+18,781,895,898,819,1023,971,842,922,1014,661,554,884,,,,
1.53658E+18,782,895,899,819,1023,971,843,923,1015,661,554,883,,,,
1.53658E+18,781,895,899,819,1023,971,844,922,1013,661,554,883,,,,
1.53658E+18,782,895,899,818,1023,970,843,922,1014,661,554,882,,,,
1.53658E+18,782,894,898,818,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,782,895,897,818,1023,971,843,922,1014,661,554,883,,,,
1.53658E+18,781,895,898,818,1023,970,843,922,1014,662,554,883,,,,
1.53658E+18,781,895,899,819,1023,971,843,922,1014,661,554,884,,,,
1.53658E+18,782,895,898,818,1023,971,842,922,1014,661,554,883,,,,
