%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1.53659E+18,822,1002,981,787,1023,983,879,968,995,589,518,730
1.53659E+18,822,1001,982,787,1023,983,879,968,995,589,518,730
1.53659E+18,822,1001,980,787,1023,982,880,968,995,589,519,730
1.53659E+18,821,1001,980,788,1023,983,880,968,995,589,519,731
1.53659E+18,821,1001,979,788,1023,983,879,969,995,589,519,730
1.53659E+18,822,1001,980,787,1023,983,880,968,995,589,519,731
1.53659E+18,822,1002,979,788,1023,983,879,969,995,589,519,731
1.53659E+18,822,1001,980,788,1023,983,879,969,995,589,520,732
1.53659E+18,823,1001,979,788,1023,983,879,969,995,588,520,732
1.53659E+18,823,1001,979,789,1023,983,879,968,996,589,520,732
1.53659E+18,823,1001,980,789,1023,983,878,968,996,589,520,732
1.53659E+18,824,1001,979,791,1023,983,879,970,996,589,521,733
1.53659E+18,824,1002,979,791,1023,984,878,969,995,589,521,734
1.53659E+18,823,1001,979,791,1023,983,879,969,996,589,521,733
1.53659E+18,823,1001,979,791,1023,983,879,969,996,589,521,733
1.53659E+18,823,1001,979,791,1023,982,878,969,996,589,521,733
1.53659E+18,823,1001,978,791,1023,983,879,969,996,589,521,733
1.53659E+18,823,1001,978,791,1023,983,879,969,996,589,521,733
1.53659E+18,823,1002,978,791,1023,983,879,970,996,589,521,733
1.53659E+18,824,1001,979,790,1023,982,879,969,996,589,521,734
1.53659E+18,823,1001,977,790,1023,982,878,969,996,589,521,733
1.53659E+18,823,1002,978,790,1023,983,879,969,996,589,521,733
1.53659E+18,823,1002,978,790,1023,982,878,971,996,589,521,733
1.53659E+18,823,1002,978,790,1023,982,878,969,996,589,521,733
1.53659E+18,821,1002,978,789,1023,982,878,969,995,589,521,733
1.53659E+18,821,1001,978,789,1023,982,878,970,996,589,521,733
1.53659E+18,822,1002,978,790,1023,983,879,969,996,589,522,734
1.53659E+18,821,1001,978,790,1023,983,878,969,996,589,522,733
1.53659E+18,821,1001,978,791,1023,982,878,970,996,589,523,733
1.53659E+18,821,1000,978,790,1023,982,878,970,996,589,523,733
1.53659E+18,820,1002,977,791,1023,983,878,969,996,590,523,733
1.53659E+18,821,1000,978,791,1023,982,877,969,996,590,523,733
1.53659E+18,820,1000,978,790,1023,981,878,969,996,590,524,734
1.53659E+18,821,1001,977,790,1023,982,878,969,996,590,523,734
1.53659E+18,821,1000,977,791,1023,982,878,968,997,590,523,733
1.53659E+18,820,1000,977,789,1023,981,877,970,996,590,523,733
1.53659E+18,820,1000,977,789,1023,983,878,969,995,590,523,733
1.53659E+18,820,1001,977,788,1023,982,878,968,996,590,523,733
1.53659E+18,819,1000,977,789,1023,982,878,969,995,590,523,733
1.53659E+18,820,1000,976,790,1023,982,878,969,996,591,523,732
1.53659E+18,819,1000,976,790,1023,982,878,971,996,591,523,732
1.53659E+18,819,1001,976,789,1023,982,877,968,996,591,523,732
1.53659E+18,820,999,976,789,1023,982,878,969,997,590,523,732
1.53659E+18,820,1000,976,788,1023,983,878,969,996,591,523,732
1.53659E+18,819,1000,976,788,1023,982,877,969,996,590,523,732
1.53659E+18,819,1000,976,788,1023,983,878,968,996,590,523,732
1.53659E+18,819,1000,976,788,1023,984,878,969,996,590,523,732
1.53659E+18,819,1000,977,787,1023,983,878,970,995,590,523,732
1.53659E+18,818,1000,977,787,1023,984,877,969,997,590,523,732
1.53659E+18,818,1000,977,787,1023,983,877,968,997,590,523,732
1.53659E+18,819,1000,977,787,1023,983,877,969,996,590,523,732
1.53659E+18,818,1001,976,787,1023,983,878,968,996,591,523,732
1.53659E+18,817,999,976,786,1023,984,877,970,996,591,523,732
1.53659E+18,817,1000,977,787,1023,983,878,969,997,591,524,732
1.53659E+18,817,1000,976,786,1023,983,878,970,996,592,524,732
1.53659E+18,817,999,976,787,1023,984,878,969,996,592,524,732
1.53659E+18,817,999,977,785,1023,983,878,970,996,592,524,733
1.53659E+18,818,999,976,786,1023,983,878,969,997,592,524,732
1.53659E+18,817,1000,977,785,1023,983,878,969,996,592,524,733
